dataset,perturbation,requested_severity,mean_realized_severity,n_examples,n_perturbation_seeds,n_bootstrap,word_clean_accuracy,char_clean_accuracy,clean_accuracy_difference,word_mean_perturbed_accuracy,char_mean_perturbed_accuracy,perturbed_accuracy_difference,perturbed_accuracy_difference_ci_lower,perturbed_accuracy_difference_ci_upper,word_retention,char_retention,retention_difference,retention_difference_ci_lower,retention_difference_ci_upper,bootstrap_fraction_accuracy_difference_gt_zero,bootstrap_fraction_retention_difference_gt_zero
banking77,typo,0.2,0.20060866688719817,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.7952922077922078,0.8531168831168833,0.0578246753246755,0.05071428571428571,0.06500081168831173,0.8930003645643456,0.94382183908046,0.05082147451611441,0.04432415797859647,0.057317536689230585,1.0,1.0
banking77,char_delete,0.2,0.2006885104813426,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.8192207792207792,0.8843506493506494,0.06512987012987026,0.057758928571428496,0.07246834415584413,0.9198687568355814,0.9783764367816093,0.0585076799460279,0.05256362272316204,0.06418682536347865,1.0,1.0
banking77,word_delete,0.2,0.2001600758878283,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.7850324675324676,0.7921428571428571,0.007110389610389567,0.0004537337662338055,0.013766233766233649,0.8814801312431645,0.8763649425287356,-0.005115188714428842,-0.011574174127956013,0.0013356318430862559,0.9822,0.0638
banking77,typo,0.4,0.3991597750578895,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.6613961038961038,0.7854545454545455,0.1240584415584417,0.11678571428571438,0.1315909090909091,0.7426540284360189,0.8689655172413794,0.12631148880536047,0.11756321231207872,0.13497985312008393,1.0,1.0
banking77,char_delete,0.4,0.4003995819757792,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.7180194805194805,0.8608441558441559,0.14282467532467535,0.13425324675324668,0.15116883116883117,0.8062340503098797,0.9523706896551725,0.14613663934529275,0.13769229733734198,0.15465355185286125,1.0,1.0
banking77,word_delete,0.4,0.40097527716843545,3080,10,5000,0.8905844155844156,0.9038961038961039,0.013311688311688274,0.6425000000000001,0.6475,0.004999999999999893,-0.0010714285714285038,0.010941558441558422,0.7214363835216917,0.7163433908045976,-0.005092992717094069,-0.012724109207932113,0.002558084206754911,0.9402,0.096
clinc150,typo,0.2,0.200680292142773,4500,10,5000,0.9113333333333333,0.9164444444444444,0.005111111111111066,0.8111777777777778,0.8542444444444445,0.0430666666666667,0.03751055555555561,0.048711666666666695,0.8900999756157035,0.9321290009699322,0.0420290253542287,0.037080426751566496,0.04691306736191957,1.0,1.0
clinc150,char_delete,0.2,0.20072626294990922,4500,10,5000,0.9113333333333333,0.9164444444444444,0.005111111111111066,0.836288888888889,0.8891333333333334,0.05284444444444447,0.04673333333333329,0.05920000000000003,0.9176542306754452,0.9701988360814745,0.05254460540602934,0.048337868318938514,0.05668056433488799,1.0,1.0
clinc150,word_delete,0.2,0.20035558209603432,4500,10,5000,0.9113333333333333,0.9164444444444444,0.005111111111111066,0.8086,0.8092666666666666,0.0006666666666665932,-0.004311111111111043,0.005800555555555573,0.8872713972201902,0.8830504364694471,-0.004220960750743075,-0.009049125419634643,0.0006832858554933888,0.6106,0.0446
clinc150,typo,0.4,0.3987778301331134,4500,10,5000,0.9113333333333333,0.9164444444444444,0.005111111111111066,0.6707777777777778,0.7702666666666668,0.09948888888888896,0.09377722222222219,0.1051561111111111,0.7360399902462814,0.840494665373424,0.10445467512714257,0.0978913904382616,0.11092593187886653,1.0,1.0
