model,perturbation,accuracy,training_seed_sd_accuracy,accuracy_retention,training_seed_sd_retention,accuracy_drop
Word TF-IDF + Linear SVM,clean,0.8905844155844156,,1.0,,0.0
Word TF-IDF + Linear SVM,typo,0.7952922077922079,0.0,0.8930003645643456,0.0,0.0952922077922078
Word TF-IDF + Linear SVM,char_delete,0.8192207792207793,0.0,0.9198687568355816,0.0,0.0713636363636363
Word TF-IDF + Linear SVM,word_delete,0.7850324675324676,0.0,0.8814801312431644,0.0,0.105551948051948
Character TF-IDF + Linear SVM,clean,0.903896103896104,,1.0,,0.0
Character TF-IDF + Linear SVM,typo,0.853116883116883,0.0,0.9438218390804596,0.0,0.0507792207792207
Character TF-IDF + Linear SVM,char_delete,0.8843506493506492,0.0,0.9783764367816092,0.0,0.0195454545454545
Character TF-IDF + Linear SVM,word_delete,0.792142857142857,0.0,0.8763649425287356,0.0,0.1117532467532467
DistilBERT,clean,0.8493506493506494,0.0059513970064361335,1.0,0.0,0.0
DistilBERT,typo,0.6904329004329005,0.008059821070671193,0.8128907128906508,0.0068276247712452595,0.15891774891774887
DistilBERT,char_delete,0.7431168831168832,0.004759235280878805,0.87493785431692,0.0055882351836709365,0.10623376623376618
DistilBERT,word_delete,0.6955411255411256,0.004449986939691244,0.8189116163115716,0.0005086470877671488,0.15380952380952376
