training_seed,perturbation,clean_accuracy,clean_macro_f1,mean_accuracy,within_seed_accuracy_std,mean_macro_f1,within_seed_macro_f1_std,mean_accuracy_drop,mean_accuracy_retention,within_seed_retention_std,n_perturbation_seeds
42,clean,0.8506493506493507,0.8424108148265075,0.8506493506493507,0.0,0.8424108148265075,0.0,0.0,1.0,0.0,0
42,typo,0.8506493506493507,0.8424108148265075,0.6851298701298701,0.0051285456854195405,0.6787119886242473,0.00555677158145686,0.16551948051948048,0.8054198473282442,0.006028977370645863,10
42,char_delete,0.8506493506493507,0.8424108148265075,0.7391883116883117,0.004342646254122784,0.7306818698982658,0.00430853447504518,0.11146103896103891,0.868969465648855,0.005105095596449676,10
42,word_delete,0.8506493506493507,0.8424108148265075,0.6964285714285714,0.004380109598451957,0.6906884672963912,0.00402429111064943,0.15422077922077918,0.818702290076336,0.0051491364745160475,10
123,clean,0.8545454545454545,0.8475754012896646,0.8545454545454545,0.0,0.8475754012896646,0.0,0.0,1.0,0.0,0
123,typo,0.8545454545454545,0.8475754012896646,0.6997077922077922,0.00716487816331997,0.6918622086177042,0.00659231453246178,0.15483766233766227,0.818806990881459,0.008384431893246782,10
123,char_delete,0.8545454545454545,0.8475754012896646,0.7484090909090908,0.004479133775722826,0.7408017423663907,0.005001577131585795,0.10613636363636354,0.8757978723404257,0.005241539524782033,10
123,word_delete,0.8545454545454545,0.8475754012896646,0.6994805194805195,0.0052535459579423766,0.6963519982574651,0.005065828558930871,0.15506493506493496,0.8185410334346503,0.006147766546528318,10
2026,clean,0.8428571428571429,0.833511600039623,0.8428571428571429,0.0,0.833511600039623,0.0,0.0,1.0,0.0,0
2026,typo,0.8428571428571429,0.833511600039623,0.6864610389610389,0.005737053716747845,0.6749360888723928,0.005554032889745571,0.15639610389610387,0.8144453004622496,0.006806673901226244,10
2026,char_delete,0.8428571428571429,0.833511600039623,0.7417532467532467,0.005346364161974089,0.7314505055980671,0.005437632030731941,0.10110389610389607,0.8800462249614792,0.006343143920986216,10
2026,word_delete,0.8428571428571429,0.833511600039623,0.6907142857142857,0.006798742300767644,0.684465239785229,0.0067043541047464355,0.15214285714285714,0.8194915254237287,0.008066304424639584,10
