dataset,perturbation,requested_severity,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference
banking77,typo,0.05,1,0.8737012987012988,0.8925324675324675,0.018831168831168754,0.981042654028436,0.9874281609195402,0.006385506891104176
banking77,typo,0.05,7,0.8678571428571429,0.8860389610389611,0.018181818181818188,0.97448049580751,0.9802442528735632,0.0057637570660532544
banking77,typo,0.05,21,0.8714285714285714,0.8928571428571429,0.021428571428571463,0.978490703609187,0.9877873563218392,0.009296652712652231
banking77,typo,0.05,42,0.8672077922077922,0.8944805194805194,0.027272727272727226,0.973751367116296,0.9895833333333331,0.015831966217037197
banking77,typo,0.05,84,0.8675324675324675,0.8899350649350649,0.022402597402597424,0.974115931461903,0.9845545977011494,0.010438666239246386
banking77,typo,0.05,123,0.8720779220779221,0.8902597402597403,0.018181818181818188,0.9792198323004012,0.9849137931034484,0.005693960803047182
banking77,typo,0.05,256,0.8655844155844156,0.8909090909090909,0.025324675324675305,0.971928545388261,0.985632183908046,0.013703638519784955
banking77,typo,0.05,512,0.8694805194805195,0.8905844155844156,0.02110389610389607,0.9763033175355452,0.9852729885057472,0.00896967097020196
banking77,typo,0.05,1024,0.8727272727272727,0.8925324675324675,0.019805194805194826,0.979948960991615,0.9874281609195402,0.007479199927925229
banking77,typo,0.05,2026,0.8652597402597403,0.8922077922077922,0.026948051948051943,0.971563981042654,0.9870689655172414,0.01550498447458748
banking77,char_delete,0.05,1,0.8730519480519481,0.901948051948052,0.028896103896103975,0.980313525337222,0.997844827586207,0.017531302248984915
banking77,char_delete,0.05,7,0.8675324675324675,0.897077922077922,0.02954545454545454,0.974115931461903,0.992456896551724,0.01834096508982097
banking77,char_delete,0.05,21,0.8766233766233766,0.8987012987012987,0.02207792207792203,0.984323733138899,0.9942528735632185,0.009929140424319471
banking77,char_delete,0.05,42,0.8785714285714286,0.8996753246753246,0.02110389610389607,0.986511119212541,0.9953304597701148,0.00881934055757383
banking77,char_delete,0.05,84,0.8753246753246753,0.8974025974025974,0.02207792207792214,0.982865475756471,0.9928160919540232,0.00995061619755222
banking77,char_delete,0.05,123,0.8737012987012988,0.8957792207792208,0.02207792207792203,0.981042654028436,0.9910201149425288,0.009977460914092795
banking77,char_delete,0.05,256,0.8668831168831169,0.897077922077922,0.030194805194805108,0.9733868027706892,0.992456896551724,0.019070093781034747
banking77,char_delete,0.05,512,0.8707792207792208,0.8967532467532467,0.025974025974025983,0.977761574917973,0.9920977011494252,0.014336126231452195
banking77,char_delete,0.05,1024,0.8743506493506493,0.8990259740259741,0.02467532467532474,0.98177178271965,0.9946120689655172,0.012840286245867194
banking77,char_delete,0.05,2026,0.8672077922077922,0.8983766233766234,0.03116883116883118,0.973751367116296,0.9938936781609196,0.020142311044623606
banking77,word_delete,0.05,1,0.8685064935064936,0.8792207792207792,0.010714285714285676,0.975209624498724,0.9727011494252874,-0.0025084750734365446
banking77,word_delete,0.05,7,0.8691558441558441,0.8821428571428571,0.012987012987012991,0.975938753189938,0.975933908045977,-4.845143960929832e-06
banking77,word_delete,0.05,21,0.8688311688311688,0.8805194805194805,0.011688311688311637,0.975574188844331,0.9741379310344828,-0.0014362578098482404
banking77,word_delete,0.05,42,0.8701298701298701,0.8844155844155844,0.014285714285714346,0.977032446226759,0.9784482758620692,0.001415829635310173
banking77,word_delete,0.05,84,0.8607142857142858,0.8743506493506493,0.013636363636363558,0.966460080204156,0.9673132183908046,0.000853138186648672
banking77,word_delete,0.05,123,0.8675324675324675,0.875,0.007467532467532512,0.974115931461903,0.9680316091954024,-0.006084322266500575
banking77,word_delete,0.05,256,0.8652597402597403,0.8779220779220779,0.012662337662337597,0.971563981042654,0.971264367816092,-0.00029961322656191225
banking77,word_delete,0.05,512,0.8675324675324675,0.8782467532467533,0.010714285714285787,0.974115931461903,0.9716235632183908,-0.0024923682435121775
banking77,word_delete,0.05,1024,0.8649350649350649,0.8753246753246753,0.010389610389610393,0.971199416697047,0.9683908045977012,-0.0028086120993457975
banking77,word_delete,0.05,2026,0.8668831168831169,0.8772727272727273,0.010389610389610393,0.9733868027706892,0.9705459770114944,-0.002840825759194865
banking77,typo,0.1,1,0.8474025974025974,0.8834415584415585,0.03603896103896109,0.9515129420342692,0.9773706896551724,0.025857747620903204
banking77,typo,0.1,7,0.8467532467532467,0.887987012987013,0.04123376623376629,0.950783813343055,0.9823994252873564,0.0316156119443014
banking77,typo,0.1,21,0.8480519480519481,0.8827922077922078,0.03474025974025974,0.9522420707254832,0.9766522988505748,0.024410228125091638
banking77,typo,0.1,42,0.8506493506493507,0.8827922077922078,0.03214285714285714,0.955158585490339,0.9766522988505748,0.021493713360235756
banking77,typo,0.1,84,0.8538961038961039,0.8837662337662338,0.029870129870129825,0.958804228946409,0.9777298850574712,0.018925656111062117
banking77,typo,0.1,123,0.8438311688311688,0.8795454545454545,0.0357142857142857,0.947502734232592,0.9730603448275862,0.025557610594994173
banking77,typo,0.1,256,0.8470779220779221,0.8779220779220779,0.030844155844155785,0.951148377688662,0.971264367816092,0.02011599012743004
banking77,typo,0.1,512,0.8412337662337662,0.8798701298701299,0.03863636363636369,0.944586219467736,0.9734195402298852,0.028833320762149173
banking77,typo,0.1,1024,0.8470779220779221,0.8775974025974026,0.030519480519480502,0.951148377688662,0.9709051724137931,0.019756794725131144
banking77,typo,0.1,2026,0.8454545454545455,0.8762987012987012,0.030844155844155785,0.9493255559606272,0.9694683908045976,0.020142834843970392
banking77,char_delete,0.1,1,0.8493506493506493,0.8951298701298701,0.04577922077922081,0.9537003281079108,0.990301724137931,0.03660139603002022
banking77,char_delete,0.1,7,0.8548701298701299,0.8954545454545455,0.04058441558441561,0.95989792198323,0.99066091954023,0.03076299755699996
banking77,char_delete,0.1,21,0.8587662337662337,0.888961038961039,0.03019480519480522,0.964272694130514,0.9834770114942528,0.019204317363738843
banking77,char_delete,0.1,42,0.8587662337662337,0.8935064935064935,0.03474025974025974,0.964272694130514,0.9885057471264368,0.02423305299592282
banking77,char_delete,0.1,84,0.8555194805194806,0.8935064935064935,0.0379870129870129,0.960627050674444,0.9885057471264368,0.027878696451992813
banking77,char_delete,0.1,123,0.8574675324675325,0.8886363636363637,0.03116883116883118,0.962814436748086,0.983117816091954,0.020303379343868055
banking77,char_delete,0.1,256,0.8538961038961039,0.8938311688311689,0.039935064935064934,0.958804228946409,0.9888649425287356,0.030060713582326537
banking77,char_delete,0.1,512,0.8577922077922078,0.8948051948051948,0.03701298701298705,0.963179001093693,0.9899425287356324,0.026763527641939344
banking77,char_delete,0.1,1024,0.8551948051948052,0.8944805194805194,0.03928571428571426,0.960262486328837,0.9895833333333331,0.02932084700449611
banking77,char_delete,0.1,2026,0.8542207792207792,0.8905844155844156,0.036363636363636376,0.959168793292016,0.9852729885057472,0.026104195213731196
banking77,word_delete,0.1,1,0.8444805194805195,0.8548701298701299,0.010389610389610393,0.948231862923806,0.9457614942528736,-0.0024703686709324213
banking77,word_delete,0.1,7,0.8483766233766233,0.8607142857142858,0.012337662337662425,0.95260663507109,0.9522270114942528,-0.00037962357683718473
banking77,word_delete,0.1,21,0.8448051948051948,0.8525974025974026,0.007792207792207795,0.9485964272694132,0.9432471264367815,-0.005349300832631632
banking77,word_delete,0.1,42,0.8418831168831169,0.8516233766233766,0.009740259740259716,0.94531534815895,0.9421695402298852,-0.0031458079290648255
banking77,word_delete,0.1,84,0.8405844155844155,0.8487012987012987,0.008116883116883189,0.943857090776522,0.9389367816091956,-0.004920309167326442
banking77,word_delete,0.1,123,0.8428571428571429,0.849025974025974,0.006168831168831157,0.9464090411957712,0.9392959770114944,-0.007113064184276818
banking77,word_delete,0.1,256,0.8350649350649351,0.8470779220779221,0.01201298701298703,0.9376594969012032,0.9371408045977012,-0.0005186923035019886
banking77,word_delete,0.1,512,0.8448051948051948,0.8555194805194806,0.010714285714285787,0.9485964272694132,0.9464798850574714,-0.0021165422119417965
banking77,word_delete,0.1,1024,0.8386363636363636,0.8448051948051948,0.006168831168831157,0.94166970470288,0.9346264367816092,-0.007043267921270857
banking77,word_delete,0.1,2026,0.8461038961038961,0.8516233766233766,0.00551948051948048,0.9500546846518412,0.9421695402298852,-0.00788514442195598
banking77,typo,0.2,1,0.7951298701298701,0.8564935064935065,0.0613636363636364,0.8928180823915421,0.9475574712643678,0.0547393888728257
banking77,typo,0.2,7,0.7925324675324675,0.8483766233766233,0.05584415584415581,0.8899015676266862,0.9385775862068966,0.04867601858021042
banking77,typo,0.2,21,0.7977272727272727,0.8594155844155844,0.06168831168831168,0.8957345971563981,0.9507902298850576,0.05505563272865943
banking77,typo,0.2,42,0.787012987012987,0.8461038961038961,0.05909090909090908,0.8837039737513671,0.9360632183908046,0.05235924463943753
banking77,typo,0.2,84,0.798051948051948,0.8568181818181818,0.0587662337662338,0.8960991615020051,0.9479166666666669,0.05181750516466177
banking77,typo,0.2,123,0.799025974025974,0.8512987012987013,0.05227272727272736,0.897192854538826,0.9418103448275864,0.044617490288760386
banking77,typo,0.2,256,0.7935064935064935,0.8512987012987013,0.05779220779220784,0.8909952606635071,0.9418103448275864,0.050815084164079316
banking77,typo,0.2,512,0.798051948051948,0.862987012987013,0.06493506493506496,0.8960991615020051,0.9547413793103448,0.05864221780833967
banking77,typo,0.2,1024,0.7957792207792208,0.8506493506493507,0.05487012987012985,0.8935472110827561,0.9410919540229884,0.047544742940232254
banking77,typo,0.2,2026,0.7961038961038961,0.8477272727272728,0.05162337662337668,0.8939117754283631,0.9378591954022988,0.0439474199739357
banking77,char_delete,0.2,1,0.8191558441558442,0.8896103896103896,0.07045454545454544,0.91979584396646,0.9841954022988506,0.06439955833239064
banking77,char_delete,0.2,7,0.8295454545454546,0.8860389610389611,0.056493506493506485,0.9314619030258842,0.9802442528735632,0.04878234984767904
banking77,char_delete,0.2,21,0.8207792207792208,0.8827922077922078,0.062012987012986964,0.9216186656944952,0.9766522988505748,0.055033633156079564
banking77,char_delete,0.2,42,0.8133116883116883,0.8818181818181818,0.06850649350649352,0.913233685745534,0.9755747126436782,0.06234102689814425
banking77,char_delete,0.2,84,0.8211038961038961,0.8837662337662338,0.06266233766233764,0.921983230040102,0.9777298850574712,0.055746655017369195
banking77,char_delete,0.2,123,0.8175324675324676,0.8853896103896104,0.06785714285714284,0.9179730222384253,0.9795258620689656,0.061552839830540385
banking77,char_delete,0.2,256,0.8123376623376624,0.8814935064935064,0.06915584415584408,0.9121399927087132,0.9752155172413792,0.06307552453266607
banking77,char_delete,0.2,512,0.8224025974025974,0.8873376623376623,0.06493506493506496,0.92344148742253,0.9816810344827588,0.058239547060228825
banking77,char_delete,0.2,1024,0.8159090909090909,0.8857142857142857,0.06980519480519476,0.91615020051039,0.9798850574712644,0.06373485696087444
banking77,char_delete,0.2,2026,0.8201298701298702,0.8795454545454545,0.059415584415584366,0.9208895370032812,0.9730603448275862,0.05217080782430494
banking77,word_delete,0.2,1,0.7899350649350649,0.7915584415584416,0.0016233766233766378,0.8869850528618302,0.8757183908045978,-0.011266662057232368
banking77,word_delete,0.2,7,0.7876623376623376,0.7948051948051948,0.0071428571428572285,0.8844331024425811,0.8793103448275863,-0.005122757614994811
banking77,word_delete,0.2,21,0.7912337662337663,0.7961038961038961,0.004870129870129802,0.8884433102442582,0.8807471264367817,-0.007696183807476498
banking77,word_delete,0.2,42,0.7805194805194805,0.7967532467532468,0.016233766233766267,0.8764126868392271,0.8814655172413793,0.005052830402152209
banking77,word_delete,0.2,84,0.7831168831168831,0.7905844155844156,0.007467532467532512,0.8793292016040831,0.8746408045977012,-0.004688397006381906
banking77,word_delete,0.2,123,0.7831168831168831,0.787012987012987,0.003896103896103953,0.8793292016040831,0.8706896551724139,-0.008639546431669198
banking77,word_delete,0.2,256,0.7792207792207793,0.7853896103896104,0.006168831168831157,0.8749544294567991,0.8688936781609196,-0.006060751295879574
banking77,word_delete,0.2,512,0.7892857142857143,0.7896103896103897,0.00032467532467539417,0.886255924170616,0.8735632183908046,-0.012692705779811408
