dataset,perturbation,requested_severity,n,mean_accuracy_difference,accuracy_difference_std,accuracy_difference_ci_lower,accuracy_difference_ci_upper,mean_retention_difference,retention_difference_std,retention_difference_ci_lower,retention_difference_ci_upper
banking77,char_delete,0.05,10,0.02577922077922078,0.0038967051003195147,0.022991685875176103,0.028566755683265457,0.014093764273532195,0.004372989934024221,0.010965515724487767,0.017222012822576623
banking77,char_delete,0.1,10,0.037305194805194807,0.00459019927118095,0.034021564056774,0.040588825553615614,0.027123312318503588,0.005119169638161025,0.02346127896500975,0.030785345671997425
banking77,char_delete,0.2,10,0.06512987012987011,0.0048113333903487526,0.06168804956215688,0.06857169069758334,0.058507679946027735,0.005389006412423183,0.054652616992580616,0.062362742899474854
banking77,char_delete,0.3,10,0.10009740259740263,0.006450161974260796,0.09548323468448579,0.10471157051031947,0.09796615260998748,0.007192139742779567,0.09282120577628404,0.10311109944369092
banking77,char_delete,0.4,10,0.1428246753246753,0.007363205613834386,0.1375573553387369,0.1480919953106137,0.14613663934529275,0.008254135510878212,0.1402319865047683,0.1520412921858172
banking77,typo,0.05,10,0.02194805194805194,0.003474009116491575,0.019462895535164643,0.024433208360939235,0.009906800382164006,0.003881611709989571,0.007130062639126366,0.012683538125201645
banking77,typo,0.1,10,0.03405844155844155,0.003858190955690609,0.031298458013734716,0.03681842510314839,0.023670950821526905,0.00429883641518057,0.02059574850428931,0.0267461531387645
banking77,typo,0.2,10,0.05782467532467535,0.004248300771386513,0.054785624029223504,0.06086372662012719,0.05082147451611422,0.004700839479347131,0.047458696530703705,0.054184252501524734
banking77,typo,0.3,10,0.08633116883116884,0.006459960245538933,0.08170999165722662,0.09095234600511107,0.08332201926743524,0.0072447219402343496,0.0781394573956514,0.08850458113921908
banking77,typo,0.4,10,0.12405844155844159,0.0052918647362672905,0.12027286957389015,0.12784401354299302,0.1263114888053604,0.005899619686386438,0.12209115512010336,0.13053182249061743
banking77,word_delete,0.05,10,0.01149350649350649,0.0019967459144153623,0.01006512051416075,0.012921892472852229,-0.0016206351800402198,0.00221365408137399,-0.003204187914581251,-3.708244549918867e-05
banking77,word_delete,0.1,10,0.008896103896103912,0.0024924691204302927,0.007113098897885474,0.01067910889432235,-0.004094212121973995,0.002758205454358085,-0.006067313441835006,-0.002121110802112984
banking77,word_delete,0.2,10,0.0071103896103896225,0.006326218140610894,0.002584885774826722,0.011635893445952523,-0.005115188714428731,0.007039508792674615,-0.010150949943909733,-7.942748494772951e-05
banking77,word_delete,0.3,10,0.007987012987012987,0.005529445210959076,0.004031486169166994,0.01194253980485898,-0.0030221781881570654,0.00605370062527364,-0.007352734737125494,0.0013083783608113637
