seed,tfidf_accuracy,tfidf_drop,tfidf_realized_severity,distilbert_accuracy,distilbert_drop,distilbert_realized_severity,perturbation,accuracy_difference,extra_distilbert_drop
1,0.7675324675324675,0.0912337662337662,0.2012570294409527,0.6779220779220779,0.1727272727272727,0.2012570294409527,typo,0.08961038961038958,0.0814935064935065
7,0.7665584415584416,0.0922077922077921,0.203175653324512,0.6795454545454546,0.1711038961038961,0.203175653324512,typo,0.08701298701298699,0.07889610389610399
21,0.7717532467532467,0.0870129870129869,0.199900760833609,0.6824675324675324,0.1681818181818182,0.199900760833609,typo,0.0892857142857143,0.0811688311688313
42,0.759090909090909,0.0996753246753247,0.2026463777704267,0.6814935064935065,0.1691558441558441,0.2026463777704267,typo,0.07759740259740255,0.06948051948051939
84,0.7607142857142857,0.098051948051948,0.1987098908369169,0.6928571428571428,0.1577922077922078,0.1987098908369169,typo,0.06785714285714284,0.05974025974025979
123,0.7623376623376623,0.0964285714285714,0.1988422097254383,0.6840909090909091,0.1665584415584415,0.1988422097254383,typo,0.07824675324675323,0.07012987012987008
256,0.762987012987013,0.0957792207792207,0.2025140588819053,0.6857142857142857,0.1649350649350649,0.2025140588819053,typo,0.07727272727272727,0.0691558441558442
512,0.7646103896103896,0.0941558441558441,0.1998676811114786,0.6892857142857143,0.1613636363636363,0.1998676811114786,typo,0.07532467532467535,0.06720779220779219
1024,0.7704545454545455,0.0883116883116882,0.1983129341713529,0.6925324675324676,0.1581168831168831,0.1983129341713529,typo,0.07792207792207795,0.0698051948051949
2026,0.762012987012987,0.0967532467532467,0.2008600727753887,0.6853896103896104,0.1652597402597402,0.2008600727753887,typo,0.0766233766233766,0.06850649350649349
1,0.7909090909090909,0.0678571428571428,0.2005286776910309,0.7383116883116884,0.1123376623376622,0.2005286776910309,char_delete,0.05259740259740253,0.0444805194805194
7,0.8003246753246753,0.0584415584415584,0.2023729021946271,0.7389610389610389,0.1116883116883117,0.2023729021946271,char_delete,0.0613636363636364,0.0532467532467533
21,0.7931818181818182,0.0655844155844155,0.2008975225917501,0.7363636363636363,0.1142857142857143,0.2008975225917501,char_delete,0.05681818181818188,0.0487012987012988
42,0.7844155844155845,0.0743506493506492,0.2044630232987029,0.7386363636363636,0.112012987012987,0.2044630232987029,char_delete,0.04577922077922081,0.0376623376623378
84,0.7896103896103897,0.069155844155844,0.1967787545337185,0.7428571428571429,0.1077922077922077,0.1967787545337185,char_delete,0.04675324675324677,0.038636363636363705
123,0.7886363636363637,0.07012987012987,0.197516444335157,0.7474025974025974,0.1032467532467532,0.197516444335157,char_delete,0.04123376623376629,0.0331168831168832
256,0.7857142857142857,0.073051948051948,0.2011434191922296,0.7334415584415584,0.1172077922077922,0.2011434191922296,char_delete,0.05227272727272725,0.0441558441558442
512,0.7866883116883117,0.072077922077922,0.201942583143788,0.7438311688311688,0.1068181818181818,0.201942583143788,char_delete,0.042857142857142816,0.03474025974025979
1024,0.7896103896103897,0.069155844155844,0.1956107456814409,0.7376623376623377,0.1129870129870129,0.1956107456814409,char_delete,0.051948051948051965,0.0438311688311689
2026,0.7831168831168831,0.0756493506493506,0.2056310321509805,0.7344155844155844,0.1162337662337662,0.2056310321509805,char_delete,0.04870129870129869,0.0405844155844156
1,0.7512987012987012,0.1074675324675324,0.2012213197367641,0.6925324675324676,0.1581168831168831,0.2012213197367641,word_delete,0.05876623376623369,0.050649350649350694
7,0.7493506493506493,0.1094155844155844,0.2006284460781407,0.689935064935065,0.1607142857142857,0.2006284460781407,word_delete,0.059415584415584366,0.0512987012987013
21,0.7662337662337663,0.0925324675324674,0.1994130550779629,0.7022727272727273,0.1483766233766233,0.1994130550779629,word_delete,0.063961038961039,0.055844155844155904
42,0.7587662337662338,0.0999999999999999,0.2012509634196952,0.6977272727272728,0.1529220779220779,0.2012509634196952,word_delete,0.061038961038961004,0.05292207792207801
84,0.7512987012987012,0.1074675324675324,0.197841939882611,0.6970779220779221,0.1535714285714285,0.197841939882611,word_delete,0.05422077922077917,0.04610389610389609
123,0.7522727272727273,0.1064935064935064,0.2023774233710796,0.6918831168831169,0.1587662337662337,0.2023774233710796,word_delete,0.06038961038961044,0.05227272727272729
256,0.7457792207792208,0.1129870129870129,0.2022588486393549,0.699025974025974,0.1516233766233766,0.2022588486393549,word_delete,0.04675324675324677,0.038636363636363705
512,0.7633116883116883,0.0954545454545454,0.1982273077607162,0.702922077922078,0.1477272727272727,0.1982273077607162,word_delete,0.060389610389610326,0.052272727272727304
1024,0.7551948051948052,0.1035714285714285,0.197664077785024,0.6935064935064935,0.1571428571428571,0.197664077785024,word_delete,0.06168831168831168,0.05357142857142862
2026,0.7577922077922078,0.1009740259740259,0.2007173771269342,0.6974025974025974,0.1532467532467533,0.2007173771269342,word_delete,0.06038961038961044,0.0522727272727274
