run,seed,train_fraction,train_samples,accuracy,macro_f1
1,1,0.4,4001,0.7931818181818182,0.7872865121775668
2,7,0.4,4001,0.7967532467532468,0.7918149655484573
3,21,0.4,4001,0.798051948051948,0.7934117426012633
4,42,0.4,4001,0.7860389610389611,0.7794419409010012
5,84,0.4,4001,0.8016233766233766,0.7960018210502018
6,123,0.4,4001,0.7896103896103897,0.7845885579486465
7,256,0.4,4001,0.7886363636363637,0.7828921555395962
8,512,0.4,4001,0.7905844155844156,0.7843267063626326
9,1024,0.4,4001,0.7918831168831169,0.7861972997442694
10,2026,0.4,4001,0.7899350649350649,0.7835616223845306
