dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
banking77,char_tfidf_svm,typo,1,1,0.2,0.2012570294409527,0.8564935064935065,0.8564640421646659,0.047402597402597335,0.047073366081412105,0.9475574712643678,0.05244252873563211
banking77,char_tfidf_svm,typo,2,7,0.2,0.20317565332451207,0.8483766233766233,0.848034256053168,0.055519480519480524,0.05550315219291002,0.9385775862068966,0.06142241379310345
banking77,char_tfidf_svm,typo,3,21,0.2,0.199900760833609,0.8594155844155844,0.8591949776402215,0.044480519480519454,0.04434243060585652,0.9507902298850575,0.0492097701149425
banking77,char_tfidf_svm,typo,4,42,0.2,0.20264637777042674,0.8461038961038961,0.8457602192629228,0.05779220779220773,0.0577771889831552,0.9360632183908046,0.06393678160919533
banking77,char_tfidf_svm,typo,5,84,0.2,0.19870989083691698,0.8568181818181818,0.8563326854200353,0.04707792207792205,0.04720472282604271,0.9479166666666667,0.05208333333333331
banking77,char_tfidf_svm,typo,6,123,0.2,0.1988422097254383,0.8512987012987013,0.8509591155404514,0.05259740259740253,0.05257829270562653,0.9418103448275863,0.05818965517241372
banking77,char_tfidf_svm,typo,7,256,0.2,0.20251405888190538,0.8512987012987013,0.8509023283395193,0.05259740259740253,0.05263507990655869,0.9418103448275863,0.05818965517241372
banking77,char_tfidf_svm,typo,8,512,0.2,0.19986768111147865,0.862987012987013,0.8625652296677858,0.040909090909090895,0.04097217857829216,0.9547413793103449,0.04525862068965516
banking77,char_tfidf_svm,typo,9,1024,0.2,0.19831293417135296,0.8506493506493507,0.8508244877550478,0.05324675324675321,0.05271292049103016,0.9410919540229885,0.05890804597701146
banking77,char_tfidf_svm,typo,10,2026,0.2,0.2008600727753887,0.8477272727272728,0.8476931502501271,0.05616883116883109,0.05584425799595083,0.9378591954022989,0.06214080459770106
banking77,char_tfidf_svm,char_delete,1,1,0.2,0.20052867769103092,0.8896103896103896,0.8894789565807413,0.014285714285714235,0.014058451665336702,0.9841954022988506,0.01580459770114937
banking77,char_tfidf_svm,char_delete,2,7,0.2,0.20237290219462717,0.8860389610389611,0.8855183605479217,0.017857142857142794,0.01801904769815632,0.9802442528735633,0.019755747126436712
banking77,char_tfidf_svm,char_delete,3,21,0.2,0.20089752259175017,0.8827922077922078,0.8824633281120223,0.02110389610389607,0.02107408013405565,0.9766522988505747,0.02334770114942525
banking77,char_tfidf_svm,char_delete,4,42,0.2,0.2044630232987029,0.8818181818181818,0.8815199319120761,0.02207792207792203,0.022017476334001862,0.9755747126436782,0.024425287356321785
banking77,char_tfidf_svm,char_delete,5,84,0.2,0.19677875453371857,0.8837662337662338,0.8836662194402263,0.02012987012987011,0.019871188805851703,0.9777298850574713,0.022270114942528712
banking77,char_tfidf_svm,char_delete,6,123,0.2,0.19751644433515705,0.8853896103896104,0.8851897665035435,0.01850649350649347,0.01834764174253445,0.9795258620689655,0.020474137931034444
banking77,char_tfidf_svm,char_delete,7,256,0.2,0.20114341919222967,0.8814935064935064,0.8810560000131833,0.022402597402597424,0.022481408232894684,0.9752155172413793,0.024784482758620715
banking77,char_tfidf_svm,char_delete,8,512,0.2,0.20194258314378805,0.8873376623376623,0.8869135977706362,0.01655844155844155,0.016623810475441814,0.9816810344827587,0.01831896551724137
banking77,char_tfidf_svm,char_delete,9,1024,0.2,0.19561074568144096,0.8857142857142857,0.8851637882974009,0.018181818181818188,0.018373619948677034,0.9798850574712643,0.02011494252873564
banking77,char_tfidf_svm,char_delete,10,2026,0.2,0.20563103215098053,0.8795454545454545,0.8790644495129131,0.024350649350649345,0.024472958733164907,0.9730603448275862,0.026939655172413788
banking77,char_tfidf_svm,word_delete,1,1,0.2,0.2012213197367641,0.7915584415584416,0.7925244753406101,0.11233766233766229,0.11101293290546788,0.8757183908045978,0.12428160919540225
banking77,char_tfidf_svm,word_delete,2,7,0.2,0.20062844607814076,0.7948051948051948,0.7945658192825021,0.10909090909090902,0.10897158896357584,0.8793103448275863,0.12068965517241372
banking77,char_tfidf_svm,word_delete,3,21,0.2,0.1994130550779629,0.7961038961038961,0.79707618518454,0.10779220779220777,0.10646122306153794,0.8807471264367817,0.11925287356321837
banking77,char_tfidf_svm,word_delete,4,42,0.2,0.20125096341969526,0.7967532467532468,0.7965232848657716,0.1071428571428571,0.10701412338030636,0.8814655172413793,0.11853448275862064
banking77,char_tfidf_svm,word_delete,5,84,0.2,0.197841939882611,0.7905844155844156,0.7912593815018764,0.11331168831168825,0.11227802674420162,0.8746408045977012,0.12535919540229878
banking77,char_tfidf_svm,word_delete,6,123,0.2,0.2023774233710796,0.787012987012987,0.7883641601109764,0.11688311688311681,0.11517324813510155,0.8706896551724139,0.12931034482758613
banking77,char_tfidf_svm,word_delete,7,256,0.2,0.20225884863935495,0.7853896103896104,0.7860464215272612,0.11850649350649345,0.11749098671881675,0.8688936781609196,0.13110632183908041
banking77,char_tfidf_svm,word_delete,8,512,0.2,0.1982273077607162,0.7896103896103897,0.7894442112842948,0.11428571428571421,0.11409319696178322,0.8735632183908046,0.12643678160919533
banking77,char_tfidf_svm,word_delete,9,1024,0.2,0.197664077785024,0.7876623376623376,0.7894022337599894,0.11623376623376624,0.11413517448608856,0.8714080459770115,0.12859195402298854
banking77,char_tfidf_svm,word_delete,10,2026,0.2,0.20071737712693424,0.801948051948052,0.8030637566108705,0.1019480519480519,0.1004736516352075,0.887212643678161,0.11278735632183903
