dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
banking77,tfidf_logreg,typo,1,1,0.2,0.2012570294409527,0.7675324675324675,0.7666046238709527,0.09123376623376622,0.0914560564359076,0.8937618147448015,0.10623818525519847
banking77,tfidf_logreg,typo,2,7,0.2,0.20317565332451207,0.7665584415584416,0.7670920452998418,0.09220779220779218,0.09096863500701857,0.8926275992438564,0.10737240075614364
banking77,tfidf_logreg,typo,3,21,0.2,0.199900760833609,0.7717532467532467,0.7709248105553261,0.08701298701298699,0.0871358697515342,0.8986767485822307,0.10132325141776935
banking77,tfidf_logreg,typo,4,42,0.2,0.20264637777042674,0.759090909090909,0.7599204350932962,0.0996753246753247,0.09814024521356413,0.8839319470699433,0.11606805293005673
banking77,tfidf_logreg,typo,5,84,0.2,0.19870989083691698,0.7607142857142857,0.7596295059731325,0.09805194805194806,0.09843117433372783,0.8858223062381853,0.11417769376181476
banking77,tfidf_logreg,typo,6,123,0.2,0.1988422097254383,0.7623376623376623,0.7617981778781424,0.09642857142857142,0.09626250242871792,0.8877126654064272,0.11228733459357278
banking77,tfidf_logreg,typo,7,256,0.2,0.20251405888190538,0.762987012987013,0.7620864307935677,0.09577922077922074,0.09597424951329259,0.888468809073724,0.11153119092627595
banking77,tfidf_logreg,typo,8,512,0.2,0.19986768111147865,0.7646103896103896,0.762580815070947,0.0941558441558441,0.09547986523591334,0.890359168241966,0.10964083175803398
banking77,tfidf_logreg,typo,9,1024,0.2,0.19831293417135296,0.7704545454545455,0.7701084397619566,0.08831168831168823,0.08795224054490369,0.8971644612476372,0.10283553875236286
banking77,tfidf_logreg,typo,10,2026,0.2,0.2008600727753887,0.762012987012987,0.761681981374647,0.0967532467532467,0.09637869893221329,0.8873345935727789,0.11266540642722112
banking77,tfidf_logreg,char_delete,1,1,0.2,0.20052867769103092,0.7909090909090909,0.79160551697268,0.06785714285714284,0.06645516333418033,0.9209829867674858,0.07901701323251416
banking77,tfidf_logreg,char_delete,2,7,0.2,0.20237290219462717,0.8003246753246753,0.8009421740269265,0.058441558441558406,0.05711850627993387,0.9319470699432892,0.06805293005671073
banking77,tfidf_logreg,char_delete,3,21,0.2,0.20089752259175017,0.7931818181818182,0.7925059760628401,0.06558441558441552,0.06555470424402021,0.9236294896030246,0.07637051039697536
banking77,tfidf_logreg,char_delete,4,42,0.2,0.2044630232987029,0.7844155844155845,0.7852222661145231,0.07435064935064928,0.07283841419233728,0.9134215500945181,0.08657844990548196
banking77,tfidf_logreg,char_delete,5,84,0.2,0.19677875453371857,0.7896103896103897,0.7903902666430427,0.06915584415584408,0.06767041366381765,0.9194706994328923,0.08052930056710766
banking77,tfidf_logreg,char_delete,6,123,0.2,0.19751644433515705,0.7886363636363637,0.7878646539776486,0.07012987012987004,0.07019602632921174,0.9183364839319472,0.08166351606805283
banking77,tfidf_logreg,char_delete,7,256,0.2,0.20114341919222967,0.7857142857142857,0.7864919475343314,0.07305194805194803,0.07156873277252895,0.9149338374291115,0.08506616257088845
banking77,tfidf_logreg,char_delete,8,512,0.2,0.20194258314378805,0.7866883116883117,0.7869871748206075,0.07207792207792207,0.0710735054862528,0.9160680529300567,0.0839319470699433
banking77,tfidf_logreg,char_delete,9,1024,0.2,0.19561074568144096,0.7896103896103897,0.789179582264849,0.06915584415584408,0.06888109804201137,0.9194706994328923,0.08052930056710766
banking77,tfidf_logreg,char_delete,10,2026,0.2,0.20563103215098053,0.7831168831168831,0.7822256312260802,0.07564935064935063,0.07583504908078009,0.9119092627599245,0.0880907372400756
banking77,tfidf_logreg,word_delete,1,1,0.2,0.2012213197367641,0.7512987012987012,0.7506845949148685,0.10746753246753249,0.10737608539199184,0.8748582230623818,0.1251417769376182
banking77,tfidf_logreg,word_delete,2,7,0.2,0.20062844607814076,0.7493506493506493,0.7491315127218093,0.10941558441558441,0.108929167585051,0.8725897920604915,0.1274102079395085
banking77,tfidf_logreg,word_delete,3,21,0.2,0.1994130550779629,0.7662337662337663,0.765807304288327,0.09253246753246747,0.09225337601853334,0.892249527410208,0.10775047258979199
banking77,tfidf_logreg,word_delete,4,42,0.2,0.20125096341969526,0.7587662337662338,0.7579646120646448,0.09999999999999998,0.10009606824221551,0.8835538752362949,0.11644612476370508
banking77,tfidf_logreg,word_delete,5,84,0.2,0.197841939882611,0.7512987012987012,0.7520876799108077,0.10746753246753249,0.10597300039605262,0.8748582230623818,0.1251417769376182
banking77,tfidf_logreg,word_delete,6,123,0.2,0.2023774233710796,0.7522727272727273,0.752350243056754,0.10649350649350642,0.10571043725010631,0.8759924385633271,0.12400756143667288
banking77,tfidf_logreg,word_delete,7,256,0.2,0.20225884863935495,0.7457792207792208,0.7452479799124195,0.11298701298701297,0.1128127003944408,0.8684310018903592,0.13156899810964082
banking77,tfidf_logreg,word_delete,8,512,0.2,0.1982273077607162,0.7633116883116883,0.7626153659130795,0.09545454545454546,0.09544531439378079,0.8888468809073724,0.11115311909262761
banking77,tfidf_logreg,word_delete,9,1024,0.2,0.197664077785024,0.7551948051948052,0.7558960220090578,0.10357142857142854,0.10216465829780252,0.8793950850661626,0.12060491493383739
banking77,tfidf_logreg,word_delete,10,2026,0.2,0.20071737712693424,0.7577922077922078,0.7572908508851719,0.10097402597402594,0.10076982942168844,0.8824196597353497,0.11758034026465025
