dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
banking77,tfidf_svm,typo,1,1,0.1,0.09993384055573933,0.8474025974025974,0.8476240018904944,0.04318181818181821,0.042940924860376595,0.9515129420342691,0.04848705796573098
banking77,tfidf_svm,typo,2,7,0.1,0.10188554416142905,0.8467532467532467,0.8468557192975585,0.04383116883116889,0.043709207453312415,0.950783813343055,0.049216186656945014
banking77,tfidf_svm,typo,3,21,0.1,0.10198478332782004,0.8480519480519481,0.8479407434335299,0.04253246753246753,0.04262418331734108,0.9522420707254831,0.047757929274516955
banking77,tfidf_svm,typo,4,42,0.1,0.10056235527621568,0.8506493506493507,0.8508465714930684,0.039935064935064934,0.03971835525780254,0.955158585490339,0.044841414509660955
banking77,tfidf_svm,typo,5,84,0.1,0.09847833278200463,0.8538961038961039,0.8542314695398843,0.03668831168831166,0.036333457210986686,0.958804228946409,0.04119577105359092
banking77,tfidf_svm,typo,6,123,0.1,0.10076083360899768,0.8438311688311688,0.8443421667511531,0.04675324675324677,0.04622275999971781,0.947502734232592,0.052497265767407965
banking77,tfidf_svm,typo,7,256,0.1,0.10205094277208071,0.8470779220779221,0.8472281465494982,0.04350649350649349,0.04333678020137277,0.9511483776886621,0.04885162231133794
banking77,tfidf_svm,typo,8,512,0.1,0.10195170360568971,0.8412337662337662,0.8414551862766325,0.04935064935064937,0.04910974047423844,0.944586219467736,0.055413780532263965
banking77,tfidf_svm,typo,9,1024,0.1,0.09963612305656633,0.8470779220779221,0.8473888614040297,0.04350649350649349,0.043176065346841264,0.9511483776886621,0.04885162231133794
banking77,tfidf_svm,typo,10,2026,0.1,0.09943764472378432,0.8454545454545455,0.8457215819083359,0.04512987012987013,0.04484334484253505,0.9493255559606271,0.05067444403937295
banking77,tfidf_svm,char_delete,1,1,0.1,0.09958812319419684,0.8493506493506493,0.8492617560908244,0.04123376623376629,0.04130317066004652,0.9537003281079109,0.046299671892089014
banking77,tfidf_svm,char_delete,2,7,0.1,0.09768242454048073,0.8548701298701299,0.8552518745188835,0.0357142857142857,0.03531305223198744,0.9598979219832301,0.04010207801676994
banking77,tfidf_svm,char_delete,3,21,0.1,0.1003872871457552,0.8587662337662337,0.8589482892972027,0.03181818181818186,0.03161663745366827,0.964272694130514,0.035727305869486005
banking77,tfidf_svm,char_delete,4,42,0.1,0.10063318374623471,0.8587662337662337,0.8589854804097101,0.03181818181818186,0.03157944634116083,0.964272694130514,0.035727305869486005
banking77,tfidf_svm,char_delete,5,84,0.1,0.09897338169299809,0.8555194805194806,0.8558265558970544,0.03506493506493502,0.03473837085381659,0.9606270506744441,0.03937294932555591
banking77,tfidf_svm,char_delete,6,123,0.1,0.09909632999323785,0.8574675324675325,0.8577440626688813,0.0331168831168831,0.0328208640819897,0.9628144367480861,0.037185563251913946
banking77,tfidf_svm,char_delete,7,256,0.1,0.10303067560090982,0.8538961038961039,0.8539899937429982,0.03668831168831166,0.036574933007872734,0.958804228946409,0.04119577105359092
banking77,tfidf_svm,char_delete,8,512,0.1,0.10198561504887195,0.8577922077922078,0.8582084374641785,0.03279220779220782,0.032356489286692436,0.963179001093693,0.03682099890630699
banking77,tfidf_svm,char_delete,9,1024,0.1,0.09860453679227885,0.8551948051948052,0.8557877267044913,0.035389610389610415,0.03477720004637963,0.960262486328837,0.03973751367116299
banking77,tfidf_svm,char_delete,10,2026,0.1,0.1013708735476732,0.8542207792207792,0.8545143012394554,0.036363636363636376,0.03605062551141558,0.959168793292016,0.04083120670798397
banking77,tfidf_svm,word_delete,1,1,0.1,0.10221141874666509,0.8444805194805195,0.8454308485702285,0.04610389610389609,0.04513407818064241,0.948231862923806,0.05176813707619393
banking77,tfidf_svm,word_delete,2,7,0.1,0.09954348728286003,0.8483766233766233,0.8487177225936419,0.04220779220779225,0.04184720415722909,0.95260663507109,0.04739336492891
banking77,tfidf_svm,word_delete,3,21,0.1,0.10037351040493271,0.8448051948051948,0.844874814257585,0.04577922077922081,0.04569011249328592,0.9485964272694131,0.05140357273058698
banking77,tfidf_svm,word_delete,4,42,0.1,0.09927669413647952,0.8418831168831169,0.8422094218770771,0.04870129870129869,0.04835550487379381,0.94531534815895,0.05468465184104993
banking77,tfidf_svm,word_delete,5,84,0.1,0.09909883203889251,0.8405844155844155,0.8407988638784413,0.050000000000000044,0.049766062872429684,0.943857090776522,0.05614290922347799
banking77,tfidf_svm,word_delete,6,123,0.1,0.1028339360882196,0.8428571428571429,0.8427297860931334,0.04772727272727273,0.04783514065773753,0.9464090411957711,0.05359095880422895
banking77,tfidf_svm,word_delete,7,256,0.1,0.10262643030770142,0.8350649350649351,0.8352944759901691,0.055519480519480524,0.055270450760701806,0.9376594969012031,0.06234050309879694
banking77,tfidf_svm,word_delete,8,512,0.1,0.098832038892512,0.8448051948051948,0.8456410451923451,0.04577922077922081,0.04492388155852589,0.9485964272694131,0.05140357273058698
banking77,tfidf_svm,word_delete,9,1024,0.1,0.09957313096579119,0.8386363636363636,0.8390100941040388,0.051948051948051965,0.05155483264683214,0.94166970470288,0.05833029529711996
banking77,tfidf_svm,word_delete,10,2026,0.1,0.0998399241121717,0.8461038961038961,0.8465526695395288,0.044480519480519454,0.044012257211342165,0.9500546846518411,0.04994531534815892
