dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
clinc150,char_tfidf_svm,typo,1,1,0.4,0.39721993167628694,0.7704444444444445,0.7717119177323459,0.1459999999999999,0.1434797268065947,0.8406886517943745,0.1593113482056255
clinc150,char_tfidf_svm,typo,2,7,0.4,0.4016668629991754,0.7693333333333333,0.7710084431078851,0.14711111111111108,0.14418320143105556,0.8394762366634336,0.16052376333656643
clinc150,char_tfidf_svm,typo,3,21,0.4,0.40010601955471786,0.7713333333333333,0.7729195817641016,0.14511111111111108,0.14227206277483906,0.8416585838991271,0.1583414161008729
clinc150,char_tfidf_svm,typo,4,42,0.4,0.4006066674519967,0.7691111111111111,0.7694673773828615,0.14733333333333332,0.1457242671560791,0.8392337536372454,0.1607662463627546
clinc150,char_tfidf_svm,typo,5,84,0.4,0.39610083637648724,0.7691111111111111,0.7712004445640985,0.14733333333333332,0.1439911999748421,0.8392337536372454,0.1607662463627546
clinc150,char_tfidf_svm,typo,6,123,0.4,0.40004711980209684,0.7613333333333333,0.7639469362540747,0.1551111111111111,0.15124470828486591,0.8307468477206595,0.16925315227934043
clinc150,char_tfidf_svm,typo,7,256,0.4,0.3940982447873719,0.7768888888888889,0.7787811942078549,0.13955555555555554,0.1364104503310858,0.8477206595538312,0.15227934044616875
clinc150,char_tfidf_svm,typo,8,512,0.4,0.3996348215337496,0.7664444444444445,0.7686347235983155,0.1499999999999999,0.1465569209406251,0.8363239573229875,0.16367604267701252
clinc150,char_tfidf_svm,typo,9,1024,0.4,0.3966603840263871,0.7764444444444445,0.7778786879891096,0.1399999999999999,0.137312956549831,0.847235693501455,0.152764306498545
clinc150,char_tfidf_svm,typo,10,2026,0.4,0.4016374131228649,0.7722222222222223,0.7743027359784651,0.14422222222222214,0.14088890856047553,0.8426285160038798,0.1573714839961202
clinc150,char_tfidf_svm,char_delete,1,1,0.4,0.39971163088753603,0.8608888888888889,0.8596328624838715,0.05555555555555547,0.055558782055069145,0.9393792434529584,0.06062075654704162
clinc150,char_tfidf_svm,char_delete,2,7,0.4,0.4058528249492684,0.856,0.8552489951678717,0.06044444444444441,0.05994264937106897,0.9340446168768186,0.06595538312318135
clinc150,char_tfidf_svm,char_delete,3,21,0.4,0.4005660578874292,0.8533333333333334,0.8523074224913235,0.063111111111111,0.06288422204761712,0.9311348205625607,0.06886517943743926
clinc150,char_tfidf_svm,char_delete,4,42,0.4,0.4015806899498024,0.86,0.8587998824443368,0.05644444444444441,0.05639176209460384,0.9384093113482057,0.06159068865179434
clinc150,char_tfidf_svm,char_delete,5,84,0.4,0.39821638363772294,0.8622222222222222,0.8615042074620749,0.05422222222222217,0.05368743707686574,0.9408341416100874,0.05916585838991265
clinc150,char_tfidf_svm,char_delete,6,123,0.4,0.40013884438748265,0.86,0.8592327233197322,0.05644444444444441,0.055958921219208424,0.9384093113482057,0.06159068865179434
clinc150,char_tfidf_svm,char_delete,7,256,0.4,0.3962939228879633,0.8591111111111112,0.8578731227087973,0.057333333333333236,0.0573185218301433,0.9374393792434531,0.06256062075654693
clinc150,char_tfidf_svm,char_delete,8,512,0.4,0.39325002670084375,0.8642222222222222,0.862945658722024,0.05222222222222217,0.05224598581691664,0.9430164888457808,0.05698351115421915
clinc150,char_tfidf_svm,char_delete,9,1024,0.4,0.3979493752002563,0.8548888888888889,0.8542239457822397,0.061555555555555475,0.06096769875670094,0.9328322017458779,0.06716779825412213
clinc150,char_tfidf_svm,char_delete,10,2026,0.4,0.4078286873865214,0.8633333333333333,0.8622780021765588,0.05311111111111111,0.05291364236238183,0.9420465567410281,0.05795344325897187
clinc150,char_tfidf_svm,word_delete,1,1,0.4,0.3992562634021878,0.666,0.6700808526739491,0.25044444444444436,0.24511079186499152,0.7267216294859361,0.27327837051406395
clinc150,char_tfidf_svm,word_delete,2,7,0.4,0.3975462121006487,0.6655555555555556,0.6716687813711746,0.25088888888888883,0.24352286316776606,0.7262366634335597,0.2737633365664403
clinc150,char_tfidf_svm,word_delete,3,21,0.4,0.40131918243261583,0.666,0.6711983952433125,0.25044444444444436,0.24399324929562816,0.7267216294859361,0.27327837051406395
clinc150,char_tfidf_svm,word_delete,4,42,0.4,0.39678618929996473,0.6713333333333333,0.6755283683033163,0.24511111111111106,0.23966327623562433,0.732541222114452,0.26745877788554795
clinc150,char_tfidf_svm,word_delete,5,84,0.4,0.4011563204038978,0.6782222222222222,0.6821072555091716,0.23822222222222222,0.23308438902976902,0.7400581959262852,0.25994180407371487
clinc150,char_tfidf_svm,word_delete,6,123,0.4,0.4002062919030428,0.6613333333333333,0.668806207492118,0.25511111111111107,0.2463854370468226,0.7216294859359845,0.2783705140640155
clinc150,char_tfidf_svm,word_delete,7,256,0.4,0.4041964116066339,0.6555555555555556,0.661132730769697,0.26088888888888884,0.2540589137692436,0.7153249272550922,0.28467507274490783
clinc150,char_tfidf_svm,word_delete,8,512,0.4,0.39906625770201676,0.6673333333333333,0.6730682718472409,0.24911111111111106,0.2421233726916997,0.7281765276430651,0.271823472356935
clinc150,char_tfidf_svm,word_delete,9,1024,0.4,0.39762764311500776,0.6693333333333333,0.6739783152668679,0.24711111111111106,0.24121332927207273,0.7303588748787585,0.2696411251212415
clinc150,char_tfidf_svm,word_delete,10,2026,0.4,0.4007491653321028,0.6615555555555556,0.6671544358214565,0.25488888888888883,0.24803720871748414,0.7218719689621726,0.2781280310378273
