dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
clinc150,tfidf_logreg,typo,1,1,0.2,0.2016727529744375,0.7882222222222223,0.789078206310441,0.10111111111111104,0.09924016089586285,0.8863068465767118,0.11369315342328828
clinc150,tfidf_logreg,typo,2,7,0.2,0.20179055247967959,0.7886666666666666,0.7896496416069273,0.10066666666666668,0.09866872559937656,0.8868065967016492,0.11319340329835084
clinc150,tfidf_logreg,typo,3,21,0.2,0.20081870656143244,0.7848888888888889,0.7863075047459117,0.10444444444444445,0.10201086246039215,0.8825587206396801,0.11744127936031985
clinc150,tfidf_logreg,typo,4,42,0.2,0.19978796089056425,0.7962222222222223,0.7974320621020691,0.09311111111111103,0.09088630510423479,0.8953023488255873,0.10469765117441271
clinc150,tfidf_logreg,typo,5,84,0.2,0.19810931794086464,0.7882222222222223,0.7899808259300857,0.10111111111111104,0.09833754127621819,0.8863068465767118,0.11369315342328828
clinc150,tfidf_logreg,typo,6,123,0.2,0.20073035693250088,0.794,0.7951059909231142,0.09533333333333327,0.09321237628318968,0.8928035982008996,0.10719640179910038
clinc150,tfidf_logreg,typo,7,256,0.2,0.20070090705619037,0.7926666666666666,0.7937571073585987,0.09666666666666668,0.09456125984770514,0.8913043478260869,0.10869565217391305
clinc150,tfidf_logreg,typo,8,512,0.2,0.19931676286959596,0.7908888888888889,0.7920671903358074,0.09844444444444445,0.09625117687049645,0.8893053473263368,0.11069465267366317
clinc150,tfidf_logreg,typo,9,1024,0.2,0.1998763105194958,0.7871111111111111,0.7888122048065479,0.10222222222222221,0.09950616239975596,0.8850574712643678,0.11494252873563218
clinc150,tfidf_logreg,typo,10,2026,0.2,0.20399929320296856,0.7871111111111111,0.7882179838609839,0.10222222222222221,0.10010038334532001,0.8850574712643678,0.11494252873563218
clinc150,tfidf_logreg,char_delete,1,1,0.2,0.20196518209975436,0.8133333333333334,0.8140233206302234,0.07599999999999996,0.07429504657608044,0.9145427286356822,0.0854572713643178
clinc150,tfidf_logreg,char_delete,2,7,0.2,0.20175157534978105,0.8122222222222222,0.8122400452415287,0.07711111111111113,0.07607832196477515,0.9132933533233383,0.0867066466766617
clinc150,tfidf_logreg,char_delete,3,21,0.2,0.20046993484994124,0.8106666666666666,0.811202428061067,0.07866666666666666,0.07711593914523684,0.9115442278860569,0.08845577211394302
clinc150,tfidf_logreg,char_delete,4,42,0.2,0.20586350528676706,0.8211111111111111,0.8211240127049932,0.06822222222222218,0.06719435450131062,0.923288355822089,0.076711644177911
clinc150,tfidf_logreg,char_delete,5,84,0.2,0.1962512015379686,0.8128888888888889,0.8131309208642582,0.07644444444444443,0.07518744634204566,0.9140429785107447,0.08595702148925535
clinc150,tfidf_logreg,char_delete,6,123,0.2,0.19747944035031506,0.8168888888888889,0.8163973282699871,0.07244444444444442,0.07192103893631674,0.9185407296351824,0.08145927036481757
clinc150,tfidf_logreg,char_delete,7,256,0.2,0.20148456691231442,0.8148888888888889,0.815591993706798,0.07444444444444442,0.07272637349950584,0.9162918540729635,0.08370814592703646
clinc150,tfidf_logreg,char_delete,8,512,0.2,0.20175157534978105,0.8102222222222222,0.8112526136934531,0.07911111111111113,0.07706575351285072,0.9110444777611194,0.08895552223888059
clinc150,tfidf_logreg,char_delete,9,1024,0.2,0.19619779985047528,0.8135555555555556,0.813936855206525,0.07577777777777772,0.07438151199977883,0.914792603698151,0.08520739630184901
clinc150,tfidf_logreg,char_delete,10,2026,0.2,0.204047847911994,0.8108888888888889,0.8111642255852045,0.07844444444444443,0.07715414162109935,0.9117941029485258,0.08820589705147425
clinc150,tfidf_logreg,word_delete,1,1,0.2,0.20075459406639343,0.7868888888888889,0.7875165623445626,0.10244444444444445,0.10080180486174128,0.8848075962018991,0.11519240379810096
clinc150,tfidf_logreg,word_delete,2,7,0.2,0.19926169213647837,0.7888888888888889,0.7900620916054614,0.10044444444444445,0.09825627560084249,0.887056471764118,0.11294352823588207
clinc150,tfidf_logreg,word_delete,3,21,0.2,0.1998317092369914,0.7824444444444445,0.7842604393089174,0.10688888888888881,0.10405792789738644,0.8798100949525238,0.12018990504747618
clinc150,tfidf_logreg,word_delete,4,42,0.2,0.19980456556553838,0.7868888888888889,0.7880767955802925,0.10244444444444445,0.10024157162601133,0.8848075962018991,0.11519240379810096
clinc150,tfidf_logreg,word_delete,5,84,0.2,0.19866453136451237,0.7815555555555556,0.7816881451460611,0.10777777777777775,0.10663022206024275,0.8788105947026487,0.1211894052973513
clinc150,tfidf_logreg,word_delete,6,123,0.2,0.2003202953231454,0.7815555555555556,0.7829371079172046,0.10777777777777775,0.10538125928909925,0.8788105947026487,0.1211894052973513
clinc150,tfidf_logreg,word_delete,7,256,0.2,0.20262750739665047,0.7846666666666666,0.7852717512142093,0.10466666666666669,0.10304661599209453,0.8823088455772113,0.11769115442278863
clinc150,tfidf_logreg,word_delete,8,512,0.2,0.19806737059254634,0.7811111111111111,0.7812954690011209,0.10822222222222222,0.10702289820518296,0.8783108445777111,0.12168915542228885
clinc150,tfidf_logreg,word_delete,9,1024,0.2,0.20118889280964145,0.7848888888888889,0.7864731596712325,0.10444444444444445,0.10184520753507131,0.8825587206396801,0.11744127936031985
clinc150,tfidf_logreg,word_delete,10,2026,0.2,0.20303466246844548,0.7835555555555556,0.7840615584871578,0.10577777777777775,0.10425680871914611,0.8810594702648676,0.1189405297351324
