dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
clinc150,tfidf_svm,typo,1,1,0.4,0.39721993167628694,0.6726666666666666,0.679612897595045,0.2386666666666667,0.23076112285183492,0.7381126554498902,0.26188734455010976
clinc150,tfidf_svm,typo,2,7,0.4,0.4016668629991754,0.6688888888888889,0.6771406227137469,0.24244444444444446,0.233233397733133,0.7339673250426725,0.2660326749573275
clinc150,tfidf_svm,typo,3,21,0.4,0.40010601955471786,0.6675555555555556,0.6750862334400063,0.24377777777777776,0.23528778700687358,0.7325042672518898,0.2674957327481102
clinc150,tfidf_svm,typo,4,42,0.4,0.4006066674519967,0.6726666666666666,0.6792104296517111,0.2386666666666667,0.2311635907951688,0.7381126554498902,0.26188734455010976
clinc150,tfidf_svm,typo,5,84,0.4,0.39610083637648724,0.6666666666666666,0.6750595690850857,0.2446666666666667,0.23531445136179419,0.7315288953913679,0.2684711046086321
clinc150,tfidf_svm,typo,6,123,0.4,0.40004711980209684,0.6655555555555556,0.6719536487350056,0.24577777777777776,0.23842037171187425,0.7303096805657157,0.2696903194342843
clinc150,tfidf_svm,typo,7,256,0.4,0.3940982447873719,0.6802222222222222,0.687742860712097,0.23111111111111116,0.22263115973478287,0.7464033162643258,0.2535966837356743
clinc150,tfidf_svm,typo,8,512,0.4,0.3996348215337496,0.6706666666666666,0.680274388951571,0.2406666666666667,0.23009963149530888,0.7359180687637161,0.2640819312362839
clinc150,tfidf_svm,typo,9,1024,0.4,0.3966603840263871,0.67,0.6774428648546238,0.2413333333333333,0.23293115559225608,0.7351865398683248,0.26481346013167517
clinc150,tfidf_svm,typo,10,2026,0.4,0.4016374131228649,0.6728888888888889,0.6797588912534449,0.23844444444444446,0.23061512919343496,0.7383564984150207,0.2616435015849793
clinc150,tfidf_svm,char_delete,1,1,0.4,0.39971163088753603,0.7388888888888889,0.7393607716669409,0.1724444444444444,0.17101324877993895,0.8107778590587662,0.1892221409412338
clinc150,tfidf_svm,char_delete,2,7,0.4,0.4058528249492684,0.7333333333333333,0.7341835757276023,0.17800000000000005,0.17619044471927758,0.8046817849305047,0.1953182150694953
clinc150,tfidf_svm,char_delete,3,21,0.4,0.4005660578874292,0.7348888888888889,0.7349586412244102,0.1764444444444444,0.17541537922246964,0.806388685686418,0.193611314313582
clinc150,tfidf_svm,char_delete,4,42,0.4,0.4015806899498024,0.7468888888888889,0.7462916136993752,0.1644444444444444,0.16408240674750463,0.8195562058034627,0.1804437941965374
clinc150,tfidf_svm,char_delete,5,84,0.4,0.39821638363772294,0.7435555555555555,0.7431355207332859,0.1677777777777778,0.16723849971359395,0.8158985613265057,0.1841014386734943
clinc150,tfidf_svm,char_delete,6,123,0.4,0.40013884438748265,0.7431111111111111,0.7443275756685045,0.16822222222222227,0.16604644477837538,0.8154108753962448,0.18458912460375523
clinc150,tfidf_svm,char_delete,7,256,0.4,0.3962939228879633,0.7402222222222222,0.7404710068001586,0.1711111111111111,0.16990301364672122,0.8122409168495489,0.1877590831504511
clinc150,tfidf_svm,char_delete,8,512,0.4,0.39325002670084375,0.7533333333333333,0.7530742136615832,0.15800000000000003,0.15729980678529665,0.8266276517922457,0.17337234820775424
clinc150,tfidf_svm,char_delete,9,1024,0.4,0.3979493752002563,0.7477777777777778,0.7479985277384892,0.16355555555555557,0.1623754927083907,0.8205315776639844,0.17946842233601562
clinc150,tfidf_svm,char_delete,10,2026,0.4,0.4078286873865214,0.7364444444444445,0.737499112648191,0.17488888888888887,0.17287490779868886,0.8080955864423311,0.19190441355766885
clinc150,tfidf_svm,word_delete,1,1,0.4,0.3992562634021878,0.6606666666666666,0.6645569093766094,0.2506666666666667,0.2458171110702705,0.7249451353328457,0.2750548646671544
clinc150,tfidf_svm,word_delete,2,7,0.4,0.3975462121006487,0.6651111111111111,0.6689450384155368,0.24622222222222223,0.2414289820313431,0.7298219946354547,0.2701780053645452
clinc150,tfidf_svm,word_delete,3,21,0.4,0.40131918243261583,0.6628888888888889,0.666752682860401,0.24844444444444447,0.24362133758647886,0.7273835649841501,0.2726164350158498
clinc150,tfidf_svm,word_delete,4,42,0.4,0.39678618929996473,0.6597777777777778,0.6637081698067823,0.25155555555555553,0.2466658506400976,0.7239697634723239,0.27603023652767616
clinc150,tfidf_svm,word_delete,5,84,0.4,0.4011563204038978,0.6731111111111111,0.6758132862142943,0.23822222222222222,0.2345607342325856,0.7386003413801512,0.2613996586198488
clinc150,tfidf_svm,word_delete,6,123,0.4,0.4002062919030428,0.6648888888888889,0.6701175436513891,0.24644444444444447,0.24025647679549078,0.7295781516703242,0.2704218483296757
clinc150,tfidf_svm,word_delete,7,256,0.4,0.4041964116066339,0.646,0.6506061226742162,0.2653333333333333,0.2597678977726636,0.7088514996342355,0.29114850036576445
clinc150,tfidf_svm,word_delete,8,512,0.4,0.39906625770201676,0.6617777777777778,0.6667694310065204,0.24955555555555553,0.24360458944035945,0.726164350158498,0.27383564984150205
clinc150,tfidf_svm,word_delete,9,1024,0.4,0.39762764311500776,0.664,0.6670643899280274,0.2473333333333333,0.24330963051885246,0.7286027798098025,0.27139722019019746
clinc150,tfidf_svm,word_delete,10,2026,0.4,0.4007491653321028,0.6542222222222223,0.6581661007127526,0.25711111111111107,0.25220791973412726,0.7178736893440625,0.2821263106559375
