perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop
typo,1,1,0.2,0.2012570294409527,0.6779220779220779,0.6696586150357802,0.17272727272727273,0.1727521997907273
typo,2,7,0.2,0.20317565332451207,0.6795454545454546,0.6729134769777918,0.1711038961038961,0.16949733784871568
typo,3,21,0.2,0.199900760833609,0.6824675324675324,0.6756835067667001,0.1681818181818182,0.1667273080598074
typo,4,42,0.2,0.20264637777042674,0.6814935064935065,0.6755365108735443,0.16915584415584417,0.1668743039529632
typo,5,84,0.2,0.19870989083691698,0.6928571428571428,0.6878592299666971,0.15779220779220782,0.15455158485981035
typo,6,123,0.2,0.1988422097254383,0.6840909090909091,0.6795985373158188,0.16655844155844157,0.16281227751068872
typo,7,256,0.2,0.20251405888190538,0.6857142857142857,0.6801747535088991,0.16493506493506493,0.16223606131760837
typo,8,512,0.2,0.19986768111147865,0.6892857142857143,0.680724749873383,0.16136363636363638,0.16168606495312443
typo,9,1024,0.2,0.19831293417135296,0.6925324675324676,0.6859445731614666,0.1581168831168831,0.15646624166504086
typo,10,2026,0.2,0.2008600727753887,0.6853896103896104,0.6790259327623913,0.16525974025974022,0.16338488206411617
char_delete,1,1,0.2,0.20052867769103092,0.7383116883116884,0.7296717362142021,0.11233766233766229,0.11273907861230537
char_delete,2,7,0.2,0.20237290219462717,0.7389610389610389,0.7298289697464033,0.11168831168831173,0.11258184508010416
char_delete,3,21,0.2,0.20089752259175017,0.7363636363636363,0.7274698272864907,0.11428571428571432,0.1149409875400168
char_delete,4,42,0.2,0.2044630232987029,0.7386363636363636,0.730287084436627,0.11201298701298701,0.11212373038988044
char_delete,5,84,0.2,0.19677875453371857,0.7428571428571429,0.7336802206895386,0.10779220779220777,0.10873059413696884
char_delete,6,123,0.2,0.19751644433515705,0.7474025974025974,0.7383374239025621,0.10324675324675325,0.10407339092394541
char_delete,7,256,0.2,0.20114341919222967,0.7334415584415584,0.725040324571051,0.1172077922077922,0.11737049025545643
char_delete,8,512,0.2,0.20194258314378805,0.7438311688311688,0.7356464636018267,0.10681818181818181,0.10676435122468075
char_delete,9,1024,0.2,0.19561074568144096,0.7376623376623377,0.7316393651534587,0.11298701298701297,0.11077144967304875
char_delete,10,2026,0.2,0.20563103215098053,0.7344155844155844,0.7252172833804977,0.11623376623376624,0.11719353144600975
word_delete,1,1,0.2,0.2012213197367641,0.6925324675324676,0.6851766278932353,0.1581168831168831,0.15723418693327218
word_delete,2,7,0.2,0.20062844607814076,0.689935064935065,0.6845075160038039,0.1607142857142857,0.1579032988227036
word_delete,3,21,0.2,0.1994130550779629,0.7022727272727273,0.6966103075656576,0.14837662337662338,0.14580050726084992
word_delete,4,42,0.2,0.20125096341969526,0.6977272727272728,0.6918959774681239,0.1529220779220779,0.15051483735838356
word_delete,5,84,0.2,0.197841939882611,0.6970779220779221,0.6920662966382389,0.15357142857142858,0.15034451818826855
word_delete,6,123,0.2,0.2023774233710796,0.6918831168831169,0.688377315086037,0.15876623376623378,0.15403349974047054
word_delete,7,256,0.2,0.20225884863935495,0.699025974025974,0.6919422015814642,0.15162337662337666,0.15046861324504324
word_delete,8,512,0.2,0.1982273077607162,0.702922077922078,0.6959840665072367,0.1477272727272727,0.14642674831927083
word_delete,9,1024,0.2,0.197664077785024,0.6935064935064935,0.6888904797228339,0.15714285714285714,0.15352033510367358
word_delete,10,2026,0.2,0.20071737712693424,0.6974025974025974,0.6914338844972819,0.1532467532467533,0.15097693032922554
