dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
hwu64,char_tfidf_svm,typo,1,1,0.3,0.29814385150812067,0.7825278810408922,0.772845463930352,0.09479553903345728,0.10270546578562467,0.8919491525423728,0.10805084745762715
hwu64,char_tfidf_svm,typo,2,7,0.3,0.3154002320185615,0.7843866171003717,0.7782332178670626,0.09293680297397777,0.09731771184891413,0.8940677966101694,0.10593220338983059
hwu64,char_tfidf_svm,typo,3,21,0.3,0.30162412993039445,0.7723048327137546,0.7696183447345164,0.10501858736059488,0.1059325849814603,0.8802966101694915,0.11970338983050857
hwu64,char_tfidf_svm,typo,4,42,0.3,0.2984338747099768,0.79182156133829,0.7899990864898687,0.08550185873605953,0.08555184322610798,0.9025423728813559,0.09745762711864413
hwu64,char_tfidf_svm,typo,5,84,0.3,0.29756380510440833,0.7955390334572491,0.7975032384892999,0.08178438661710041,0.07804769122667676,0.9067796610169491,0.09322033898305089
hwu64,char_tfidf_svm,typo,6,123,0.3,0.29770881670533644,0.7862453531598513,0.7819041404679892,0.09107806691449816,0.09364678924798753,0.896186440677966,0.10381355932203391
hwu64,char_tfidf_svm,typo,7,256,0.3,0.3023491879350348,0.7871747211895911,0.7824007488065092,0.0901486988847584,0.09315018090946747,0.8972457627118644,0.10275423728813564
hwu64,char_tfidf_svm,typo,8,512,0.3,0.2952436194895592,0.7964684014869888,0.7945560151818869,0.08085501858736066,0.0809949145340898,0.9078389830508474,0.09216101694915262
hwu64,char_tfidf_svm,typo,9,1024,0.3,0.291038283062645,0.7825278810408922,0.7815309112851141,0.09479553903345728,0.0940200184308626,0.8919491525423728,0.10805084745762715
hwu64,char_tfidf_svm,typo,10,2026,0.3,0.29770881670533644,0.775092936802974,0.769743437966113,0.10223048327137552,0.1058074917498637,0.8834745762711864,0.11652542372881361
hwu64,char_tfidf_svm,char_delete,1,1,0.3,0.290208969241606,0.8271375464684015,0.8274977926533967,0.05018587360594795,0.048053137062579965,0.9427966101694916,0.05720338983050847
hwu64,char_tfidf_svm,char_delete,2,7,0.3,0.31063629960084527,0.828996282527881,0.8277773375425681,0.048327137546468446,0.0477735921734086,0.9449152542372881,0.05508474576271191
hwu64,char_tfidf_svm,char_delete,3,21,0.3,0.300774829772247,0.8327137546468402,0.8285307458054346,0.044609665427509326,0.04702018391054208,0.9491525423728813,0.050847457627118675
hwu64,char_tfidf_svm,char_delete,4,42,0.3,0.2923221413477342,0.8355018587360595,0.8332427973593404,0.04182156133828996,0.04230813235663633,0.9523305084745762,0.04766949152542372
hwu64,char_tfidf_svm,char_delete,5,84,0.3,0.2951397041559051,0.828996282527881,0.8290877158365606,0.048327137546468446,0.0464632138794161,0.9449152542372881,0.05508474576271191
hwu64,char_tfidf_svm,char_delete,6,123,0.3,0.2949049072552242,0.820631970260223,0.8177780416843158,0.05669144981412644,0.05777288803166092,0.9353813559322034,0.06461864406779666
hwu64,char_tfidf_svm,char_delete,7,256,0.3,0.31063629960084527,0.8243494423791822,0.8266395961723616,0.05297397769516732,0.0489113335436151,0.9396186440677966,0.06038135593220342
hwu64,char_tfidf_svm,char_delete,8,512,0.3,0.3012444235736088,0.8280669144981413,0.8258025444736241,0.0492565055762082,0.04974838524235259,0.9438559322033898,0.056144067796610186
hwu64,char_tfidf_svm,char_delete,9,1024,0.3,0.29936604836816155,0.828996282527881,0.8247739862573596,0.048327137546468446,0.05077694345861705,0.9449152542372881,0.05508474576271191
hwu64,char_tfidf_svm,char_delete,10,2026,0.3,0.29960084526884245,0.8299256505576208,0.8254724341216353,0.047397769516728694,0.05007849559434141,0.9459745762711864,0.05402542372881364
hwu64,char_tfidf_svm,word_delete,1,1,0.3,0.29895760945100763,0.7146840148698885,0.7104260019937196,0.16263940520446096,0.16512492772225706,0.8146186440677966,0.18538135593220337
hwu64,char_tfidf_svm,word_delete,2,7,0.3,0.30826963168867266,0.7193308550185874,0.7155535246902403,0.1579925650557621,0.15999740502573645,0.8199152542372882,0.18008474576271186
hwu64,char_tfidf_svm,word_delete,3,21,0.3,0.3003474635163308,0.7211895910780669,0.7123421862702599,0.1561338289962826,0.1632087434457168,0.8220338983050847,0.1779661016949153
hwu64,char_tfidf_svm,word_delete,4,42,0.3,0.2952050034746352,0.7239776951672863,0.7229947163813562,0.15334572490706322,0.15255621333462055,0.8252118644067796,0.17478813559322035
hwu64,char_tfidf_svm,word_delete,5,84,0.3,0.2956219596942321,0.724907063197026,0.7247044162858434,0.15241635687732347,0.15084651343013333,0.8262711864406779,0.17372881355932207
hwu64,char_tfidf_svm,word_delete,6,123,0.3,0.2939541348158443,0.7286245353159851,0.7203007132912813,0.14869888475836435,0.1552502164246954,0.8305084745762712,0.16949152542372883
hwu64,char_tfidf_svm,word_delete,7,256,0.3,0.29965253648366924,0.7239776951672863,0.7182331350754267,0.15334572490706322,0.15731779464054996,0.8252118644067796,0.17478813559322035
hwu64,char_tfidf_svm,word_delete,8,512,0.3,0.29492703266157055,0.724907063197026,0.7123789448131239,0.15241635687732347,0.16317198490285278,0.8262711864406779,0.17372881355932207
hwu64,char_tfidf_svm,word_delete,9,1024,0.3,0.29715079916608755,0.7128252788104089,0.7038269753570536,0.16449814126394058,0.17172395435892307,0.8125,0.18750000000000006
hwu64,char_tfidf_svm,word_delete,10,2026,0.3,0.30354412786657403,0.7276951672862454,0.7164936719311712,0.1496282527881041,0.1590572577848055,0.8294491525423728,0.1705508474576271
