dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
hwu64,tfidf_logreg,typo,1,1,0.2,0.2038863109048724,0.7407063197026023,0.7321177974119158,0.0901486988847583,0.09309232455337557,0.8914988814317674,0.10850111856823258
hwu64,tfidf_logreg,typo,2,7,0.2,0.2111368909512761,0.7434944237918215,0.7361636605896941,0.08736059479553904,0.08904646137559735,0.8948545861297539,0.10514541387024609
hwu64,tfidf_logreg,typo,3,21,0.2,0.2049013921113689,0.7537174721189591,0.751021033632155,0.07713754646840143,0.07418908833313642,0.9071588366890381,0.0928411633109619
hwu64,tfidf_logreg,typo,4,42,0.2,0.20417633410672853,0.7379182156133829,0.7334493473316661,0.09293680297397766,0.09176077463362531,0.8881431767337808,0.11185682326621921
hwu64,tfidf_logreg,typo,5,84,0.2,0.1941705336426914,0.7444237918215614,0.7374747135418451,0.08643122676579917,0.08773540842344629,0.8959731543624162,0.1040268456375838
hwu64,tfidf_logreg,typo,6,123,0.2,0.20171113689095127,0.7453531598513011,0.7384761996225669,0.08550185873605942,0.08673392234272448,0.8970917225950784,0.10290827740492163
hwu64,tfidf_logreg,typo,7,256,0.2,0.20374129930394433,0.7481412639405205,0.7398458874556781,0.08271375464684005,0.08536423450961328,0.900447427293065,0.09955257270693502
hwu64,tfidf_logreg,typo,8,512,0.2,0.19489559164733178,0.7602230483271375,0.7495903633345056,0.07063197026022305,0.07561975863078585,0.9149888143176733,0.08501118568232663
hwu64,tfidf_logreg,typo,9,1024,0.2,0.19736078886310904,0.7453531598513011,0.7480323296850159,0.08550185873605942,0.07717779228027555,0.8970917225950784,0.10290827740492163
hwu64,tfidf_logreg,typo,10,2026,0.2,0.20026102088167053,0.758364312267658,0.7561951127547487,0.07249070631970256,0.06901500921054271,0.912751677852349,0.08724832214765096
hwu64,tfidf_logreg,char_delete,1,1,0.2,0.20075135008217893,0.7639405204460966,0.7636492614216532,0.06691449814126393,0.061560860543638185,0.9194630872483222,0.08053691275167785
hwu64,tfidf_logreg,char_delete,2,7,0.2,0.20943883540737263,0.7407063197026023,0.7358250724600196,0.0901486988847583,0.08938504950527182,0.8914988814317674,0.10850111856823258
hwu64,tfidf_logreg,char_delete,3,21,0.2,0.20638647569852078,0.7490706319702602,0.7417967008529719,0.0817843866171003,0.08341342111231953,0.9015659955257271,0.09843400447427285
hwu64,tfidf_logreg,char_delete,4,42,0.2,0.20380370979103077,0.7704460966542751,0.7654823802395181,0.06040892193308545,0.05972774172577333,0.9272930648769575,0.07270693512304244
hwu64,tfidf_logreg,char_delete,5,84,0.2,0.19229866165766613,0.7723048327137546,0.7655487157949475,0.05855018587360594,0.05966140617034388,0.9295302013422819,0.07046979865771812
hwu64,tfidf_logreg,char_delete,6,123,0.2,0.19652500586992253,0.7620817843866171,0.763639482326977,0.06877323420074344,0.06157063963831444,0.9172259507829978,0.08277404921700217
hwu64,tfidf_logreg,char_delete,7,256,0.2,0.211082413712139,0.75,0.7467618940624214,0.08085501858736055,0.07844822790286998,0.9026845637583893,0.0973154362416107
hwu64,tfidf_logreg,char_delete,8,512,0.2,0.19675980277060343,0.7592936802973977,0.7549734437393458,0.0715613382899628,0.07023667822594559,0.9138702460850112,0.0861297539149888
hwu64,tfidf_logreg,char_delete,9,1024,0.2,0.19887297487673164,0.758364312267658,0.7575152431925836,0.07249070631970256,0.06769487877270786,0.912751677852349,0.08724832214765096
hwu64,tfidf_logreg,char_delete,10,2026,0.2,0.20638647569852078,0.7444237918215614,0.7398085423863863,0.08643122676579917,0.08540157957890515,0.8959731543624162,0.1040268456375838
hwu64,tfidf_logreg,word_delete,1,1,0.2,0.19360667129951356,0.7258364312267658,0.724479293903542,0.10501858736059477,0.10073082806174938,0.8736017897091722,0.12639821029082773
hwu64,tfidf_logreg,word_delete,2,7,0.2,0.20403057678943712,0.7462825278810409,0.7377859034652307,0.08457249070631967,0.08742421850006077,0.8982102908277405,0.10178970917225948
hwu64,tfidf_logreg,word_delete,3,21,0.2,0.19638637943015982,0.7462825278810409,0.7420422360059227,0.08457249070631967,0.08316788595936875,0.8982102908277405,0.10178970917225948
hwu64,tfidf_logreg,word_delete,4,42,0.2,0.19888811674774148,0.7369888475836431,0.7338119576940652,0.09386617100371741,0.09139816427122627,0.8870246085011186,0.11297539149888136
hwu64,tfidf_logreg,word_delete,5,84,0.2,0.20430854760250175,0.7388475836431226,0.7294984165657992,0.09200743494423791,0.09571170539949225,0.889261744966443,0.11073825503355704
hwu64,tfidf_logreg,word_delete,6,123,0.2,0.19777623349548298,0.75,0.7448077013119674,0.08085501858736055,0.08040242065332404,0.9026845637583893,0.0973154362416107
hwu64,tfidf_logreg,word_delete,7,256,0.2,0.21056289089645588,0.7323420074349443,0.7233060623633928,0.09851301115241629,0.10190405960189863,0.8814317673378077,0.11856823266219231
hwu64,tfidf_logreg,word_delete,8,512,0.2,0.19638637943015982,0.758364312267658,0.753127771101586,0.07249070631970256,0.0720823508637054,0.912751677852349,0.08724832214765096
hwu64,tfidf_logreg,word_delete,9,1024,0.2,0.19972202918693538,0.7388475836431226,0.7303954044288035,0.09200743494423791,0.09481471753648796,0.889261744966443,0.11073825503355704
hwu64,tfidf_logreg,word_delete,10,2026,0.2,0.19944405837387075,0.7537174721189591,0.751854118694065,0.07713754646840143,0.07335600327122638,0.9071588366890381,0.0928411633109619
