dataset,model,perturbation,run,seed,requested_severity,realized_severity,accuracy,macro_f1,accuracy_drop,macro_f1_drop,accuracy_retention,relative_accuracy_drop
hwu64,tfidf_svm,typo,1,1,0.3,0.29814385150812067,0.7193308550185874,0.7143909708890177,0.14033457249070624,0.14380847704320565,0.8367567567567569,0.16324324324324316
hwu64,tfidf_svm,typo,2,7,0.3,0.3154002320185615,0.6979553903345725,0.6962337423215816,0.1617100371747211,0.16196570561064172,0.811891891891892,0.18810810810810802
hwu64,tfidf_svm,typo,3,21,0.3,0.30162412993039445,0.6858736059479554,0.6787127401101415,0.1737918215613382,0.17948670782208187,0.7978378378378379,0.20216216216216207
hwu64,tfidf_svm,typo,4,42,0.3,0.2984338747099768,0.7053903345724907,0.7077553276943678,0.15427509293680297,0.15044412023785558,0.8205405405405405,0.17945945945945946
hwu64,tfidf_svm,typo,5,84,0.3,0.29756380510440833,0.7323420074349443,0.7341884719604868,0.12732342007434938,0.1240109759717366,0.851891891891892,0.14810810810810804
hwu64,tfidf_svm,typo,6,123,0.3,0.29770881670533644,0.724907063197026,0.7264556612964084,0.13475836431226762,0.13174378663581499,0.8432432432432433,0.1567567567567567
hwu64,tfidf_svm,typo,7,256,0.3,0.3023491879350348,0.716542750929368,0.7176167082392257,0.1431226765799256,0.14058273969299762,0.8335135135135135,0.16648648648648645
hwu64,tfidf_svm,typo,8,512,0.3,0.2952436194895592,0.7258364312267658,0.7265622536647041,0.13382899628252787,0.1316371942675193,0.8443243243243244,0.15567567567567567
hwu64,tfidf_svm,typo,9,1024,0.3,0.291038283062645,0.7202602230483272,0.7184077357574968,0.1394052044609665,0.13979171217472652,0.8378378378378379,0.16216216216216212
hwu64,tfidf_svm,typo,10,2026,0.3,0.29770881670533644,0.7053903345724907,0.7077103713015034,0.15427509293680297,0.15048907663071998,0.8205405405405405,0.17945945945945946
hwu64,tfidf_svm,char_delete,1,1,0.3,0.290208969241606,0.733271375464684,0.7432349479219842,0.12639405204460963,0.11496450001023917,0.852972972972973,0.147027027027027
hwu64,tfidf_svm,char_delete,2,7,0.3,0.31063629960084527,0.741635687732342,0.7429969054740838,0.11802973977695164,0.11520254245813955,0.8627027027027028,0.13729729729729725
hwu64,tfidf_svm,char_delete,3,21,0.3,0.300774829772247,0.7360594795539034,0.7378245873922625,0.12360594795539026,0.12037486053996083,0.8562162162162162,0.1437837837837837
hwu64,tfidf_svm,char_delete,4,42,0.3,0.2923221413477342,0.7397769516728625,0.7367145494472704,0.11988847583643114,0.12148489848495292,0.8605405405405406,0.13945945945945937
hwu64,tfidf_svm,char_delete,5,84,0.3,0.2951397041559051,0.7388475836431226,0.7390107235212663,0.120817843866171,0.11918872441095707,0.8594594594594595,0.14054054054054055
hwu64,tfidf_svm,char_delete,6,123,0.3,0.2949049072552242,0.7304832713754646,0.7279364301536568,0.129182156133829,0.13026301777856653,0.8497297297297297,0.1502702702702703
hwu64,tfidf_svm,char_delete,7,256,0.3,0.31063629960084527,0.7211895910780669,0.7250301676886273,0.13847583643122674,0.1331692802435961,0.8389189189189189,0.16108108108108105
hwu64,tfidf_svm,char_delete,8,512,0.3,0.3012444235736088,0.7369888475836431,0.736880067239406,0.12267657992565051,0.12131938069281734,0.8572972972972973,0.14270270270270266
hwu64,tfidf_svm,char_delete,9,1024,0.3,0.29936604836816155,0.7388475836431226,0.7348317477738684,0.120817843866171,0.12336770015835496,0.8594594594594595,0.14054054054054055
hwu64,tfidf_svm,char_delete,10,2026,0.3,0.29960084526884245,0.7295539033457249,0.7226001920188555,0.13011152416356875,0.13559925591336786,0.8486486486486486,0.15135135135135133
hwu64,tfidf_svm,word_delete,1,1,0.3,0.29895760945100763,0.7016728624535316,0.7022710721498551,0.1579925650557621,0.1559283757823683,0.8162162162162162,0.1837837837837838
hwu64,tfidf_svm,word_delete,2,7,0.3,0.30826963168867266,0.6988847583643123,0.7008023455129516,0.16078066914498135,0.15739710241927174,0.812972972972973,0.18702702702702695
hwu64,tfidf_svm,word_delete,3,21,0.3,0.3003474635163308,0.7044609665427509,0.7007004662939258,0.15520446096654272,0.15749898163829756,0.8194594594594595,0.18054054054054053
hwu64,tfidf_svm,word_delete,4,42,0.3,0.2952050034746352,0.7035315985130112,0.7064807183494127,0.15613382899628248,0.15171872958281063,0.8183783783783785,0.18162162162162157
hwu64,tfidf_svm,word_delete,5,84,0.3,0.2956219596942321,0.7230483271375465,0.7208380243379742,0.13661710037174712,0.1373614235942492,0.8410810810810811,0.15891891891891882
hwu64,tfidf_svm,word_delete,6,123,0.3,0.2939541348158443,0.7016728624535316,0.6970509797928028,0.1579925650557621,0.16114846813942052,0.8162162162162162,0.1837837837837838
hwu64,tfidf_svm,word_delete,7,256,0.3,0.29965253648366924,0.6858736059479554,0.6850639685530822,0.1737918215613382,0.1731354793791412,0.7978378378378379,0.20216216216216207
hwu64,tfidf_svm,word_delete,8,512,0.3,0.29492703266157055,0.7118959107806692,0.706983849084541,0.14776951672862448,0.15121559884768232,0.8281081081081082,0.17189189189189183
hwu64,tfidf_svm,word_delete,9,1024,0.3,0.29715079916608755,0.6942379182156134,0.68899872156649,0.16542750929368022,0.16920072636573336,0.8075675675675676,0.19243243243243235
hwu64,tfidf_svm,word_delete,10,2026,0.3,0.30354412786657403,0.7091078066914498,0.7043834305406191,0.15055762081784385,0.15381601739160422,0.8248648648648649,0.17513513513513512
