perturbation,severity,severity_percent,run,seed,realized_severity,eligible_units,affected_units,accuracy,macro_f1,accuracy_drop,macro_f1_drop
typo,0.05,5,1,1,0.049950380416804496,30230,1510,0.8441558441558441,0.8432883824593896,0.01461038961038963,0.014772297847470695
typo,0.05,5,2,7,0.050876612636453857,30230,1538,0.8334415584415584,0.8335346185729415,0.025324675324675305,0.024526061733918803
typo,0.05,5,3,21,0.05114125041349653,30230,1546,0.837987012987013,0.8369093797489489,0.020779220779220786,0.02115130055791148
typo,0.05,5,4,42,0.05074429374793252,30230,1534,0.839935064935065,0.8395800734000423,0.018831168831168754,0.018480606906818076
typo,0.05,5,5,84,0.05269599735362223,30230,1593,0.8418831168831169,0.8418851881182043,0.016883116883116833,0.016175492188655993
typo,0.05,5,6,123,0.04902414819715514,30230,1482,0.8396103896103896,0.8395462168781699,0.01915584415584415,0.018514463428690453
typo,0.05,5,7,256,0.05024809791597751,30230,1519,0.837012987012987,0.8366841631347731,0.021753246753246747,0.021376517172087217
typo,0.05,5,8,512,0.050578895137280845,30230,1529,0.8386363636363636,0.8382567641387983,0.02012987012987011,0.019803916168061986
typo,0.05,5,9,1024,0.04952034402911015,30230,1497,0.8409090909090909,0.8398139937405305,0.017857142857142794,0.018246686566329884
typo,0.05,5,10,2026,0.05223288124379755,30230,1579,0.8412337662337662,0.8405361963630177,0.01753246753246751,0.01752448394384265
typo,0.1,10,1,1,0.09993384055573933,30230,3021,0.8175324675324676,0.8170232902059333,0.04123376623376618,0.041037390100926996
typo,0.1,10,2,7,0.10188554416142905,30230,3080,0.8237012987012987,0.8228514646243225,0.03506493506493502,0.035209215682537875
typo,0.1,10,3,21,0.10198478332782004,30230,3083,0.812987012987013,0.8122611236080551,0.0457792207792207,0.0457995566988052
typo,0.1,10,4,42,0.10056235527621568,30230,3040,0.8175324675324676,0.817204620520742,0.04123376623376618,0.04085605978611828
typo,0.1,10,5,84,0.09847833278200463,30230,2977,0.8168831168831169,0.8155352356012798,0.041883116883116855,0.042525444705580506
typo,0.1,10,6,123,0.10076083360899768,30230,3046,0.8113636363636364,0.8109892970022299,0.047402597402597335,0.047071383304630454
typo,0.1,10,7,256,0.10205094277208071,30230,3085,0.8165584415584416,0.8156425056724169,0.04220779220779214,0.04241817463444342
typo,0.1,10,8,512,0.10195170360568971,30230,3082,0.8103896103896104,0.8103363968209012,0.048376623376623296,0.04772428348595914
typo,0.1,10,9,1024,0.09963612305656633,30230,3012,0.8178571428571428,0.8171814986133377,0.040909090909090895,0.04087918169352267
typo,0.1,10,10,2026,0.09943764472378432,30230,3006,0.8175324675324676,0.8172283959864901,0.04123376623376618,0.04083228432037023
typo,0.2,20,1,1,0.2012570294409527,30230,6084,0.7675324675324675,0.7666046238709527,0.09123376623376622,0.0914560564359076
typo,0.2,20,2,7,0.20317565332451207,30230,6142,0.7665584415584416,0.7670920452998418,0.09220779220779218,0.09096863500701857
typo,0.2,20,3,21,0.199900760833609,30230,6043,0.7717532467532467,0.7709248105553261,0.08701298701298699,0.0871358697515342
typo,0.2,20,4,42,0.20264637777042674,30230,6126,0.759090909090909,0.7599204350932962,0.0996753246753247,0.09814024521356413
typo,0.2,20,5,84,0.19870989083691698,30230,6007,0.7607142857142857,0.7596295059731325,0.09805194805194806,0.09843117433372783
typo,0.2,20,6,123,0.1988422097254383,30230,6011,0.7623376623376623,0.7617981778781424,0.09642857142857142,0.09626250242871792
typo,0.2,20,7,256,0.20251405888190538,30230,6122,0.762987012987013,0.7620864307935677,0.09577922077922074,0.09597424951329259
typo,0.2,20,8,512,0.19986768111147865,30230,6042,0.7646103896103896,0.762580815070947,0.0941558441558441,0.09547986523591334
typo,0.2,20,9,1024,0.19831293417135296,30230,5995,0.7704545454545455,0.7701084397619566,0.08831168831168823,0.08795224054490369
typo,0.2,20,10,2026,0.2008600727753887,30230,6072,0.762012987012987,0.761681981374647,0.0967532467532467,0.09637869893221329
typo,0.3,30,1,1,0.2948726430697982,30230,8914,0.711038961038961,0.7095307200020391,0.1477272727272727,0.14852996030482124
typo,0.3,30,2,7,0.3021501819384717,30230,9134,0.7016233766233766,0.7032086479482863,0.15714285714285714,0.15485203235857403
typo,0.3,30,3,21,0.3029110155474694,30230,9157,0.7045454545454546,0.7046558381919399,0.15422077922077915,0.15340484211492045
typo,0.3,30,4,42,0.298610651670526,30230,9027,0.7084415584415584,0.7081782409105389,0.1503246753246753,0.1498824393963214
typo,0.3,30,5,84,0.29639431028779356,30230,8960,0.7107142857142857,0.7096538750994653,0.148051948051948,0.14840680520739502
typo,0.3,30,6,123,0.2979490572279193,30230,9007,0.7123376623376624,0.7128089250100736,0.14642857142857135,0.1452517552967867
typo,0.3,30,7,256,0.29870989083691696,30230,9030,0.7097402597402598,0.7083416896555741,0.14902597402597395,0.14971899065128624
typo,0.3,30,8,512,0.29917300694674165,30230,9044,0.6983766233766234,0.6996844508858995,0.1603896103896103,0.15837622942096086
typo,0.3,30,9,1024,0.29384717168375785,30230,8883,0.7064935064935065,0.7063615926647286,0.15227272727272723,0.1516990876421317
typo,0.3,30,10,2026,0.3015547469401257,30230,9116,0.7165584415584415,0.7153700732512122,0.14220779220779223,0.14269060705564818
typo,0.4,40,1,1,0.3970889844525306,30230,12004,0.6402597402597403,0.639381801561002,0.21850649350649343,0.21867887874585834
typo,0.4,40,2,7,0.40248097915977504,30230,12167,0.6366883116883116,0.636731176618356,0.2220779220779221,0.22132950368850435
typo,0.4,40,3,21,0.39851141250413497,30230,12047,0.6347402597402597,0.6345694881690624,0.22402597402597402,0.2234911921377979
typo,0.4,40,4,42,0.39827985444922265,30230,12040,0.6363636363636364,0.635440923013347,0.22240259740259738,0.22261975729351335
typo,0.4,40,5,84,0.3970228250082699,30230,12002,0.650974025974026,0.6514363536080326,0.20779220779220775,0.2066243266988277
typo,0.4,40,6,123,0.401091630830301,30230,12125,0.6357142857142857,0.636113243765107,0.22305194805194806,0.2219474365417533
typo,0.4,40,7,256,0.39629507112140255,30230,11980,0.6373376623376623,0.6375331401138671,0.22142857142857142,0.22052754019299325
typo,0.4,40,8,512,0.40162090638438636,30230,12141,0.6402597402597403,0.6406881530815947,0.21850649350649343,0.21737252722526568
typo,0.4,40,9,1024,0.3972543830631823,30230,12009,0.6386363636363637,0.6400909671007542,0.22012987012987006,0.21796971320610614
typo,0.4,40,10,2026,0.4019517036056897,30230,12151,0.6344155844155844,0.6337891056690134,0.2243506493506493,0.22427157463784697
char_delete,0.05,5,1,1,0.0483801561443413,16267,787,0.8392857142857143,0.8390887383899069,0.01948051948051943,0.018971941916953394
char_delete,0.05,5,2,7,0.05114649289973566,16267,832,0.839935064935065,0.8388149812697943,0.018831168831168754,0.019245699037066077
char_delete,0.05,5,3,21,0.05022438064793754,16267,817,0.8415584415584415,0.8410336456332841,0.017207792207792227,0.017027034673576247
char_delete,0.05,5,4,42,0.04942521669637917,16267,804,0.8477272727272728,0.8472490554927153,0.01103896103896096,0.010811624814144993
char_delete,0.05,5,5,84,0.05003995819757792,16267,814,0.8438311688311688,0.8430252349627093,0.014935064935064912,0.015035445344151022
char_delete,0.05,5,6,123,0.05016290649781767,16267,816,0.8415584415584415,0.8406789749923054,0.017207792207792227,0.017381705314554963
char_delete,0.05,5,7,256,0.052498924202372906,16267,854,0.8347402597402598,0.8347561172642656,0.02402597402597395,0.02330456304259476
char_delete,0.05,5,8,512,0.05256039835249278,16267,855,0.8392857142857143,0.8385910659129948,0.01948051948051943,0.01946961439386552
char_delete,0.05,5,9,1024,0.05028585479805742,16267,818,0.8457792207792207,0.8451519390008797,0.012987012987012991,0.012908741305980631
char_delete,0.05,5,10,2026,0.05342103645417102,16267,869,0.8405844155844155,0.8395300842279683,0.018181818181818188,0.01853059607889207
char_delete,0.1,10,1,1,0.09958812319419684,16267,1620,0.8253246753246753,0.8245539086679088,0.03344155844155838,0.03350677163895155
char_delete,0.1,10,2,7,0.09768242454048073,16267,1589,0.8217532467532468,0.8217020883922552,0.03701298701298694,0.03635859191460511
char_delete,0.1,10,3,21,0.1003872871457552,16267,1633,0.8256493506493506,0.825086666569938,0.0331168831168831,0.032974013736922325
char_delete,0.1,10,4,42,0.10063318374623471,16267,1637,0.8311688311688312,0.8311345692184574,0.02759740259740251,0.026926111088402926
char_delete,0.1,10,5,84,0.09897338169299809,16267,1610,0.8285714285714286,0.8277763015635645,0.030194805194805108,0.030284378743295814
char_delete,0.1,10,6,123,0.09909632999323785,16267,1612,0.826948051948052,0.8265494674689331,0.031818181818181746,0.03151121283792724
char_delete,0.1,10,7,256,0.10303067560090982,16267,1676,0.8256493506493506,0.8256837888743835,0.0331168831168831,0.032376891432476795
char_delete,0.1,10,8,512,0.10198561504887195,16267,1659,0.8185064935064935,0.8182698593404658,0.04025974025974022,0.039790820966394524
char_delete,0.1,10,9,1024,0.09860453679227885,16267,1604,0.8224025974025974,0.8224030873379213,0.036363636363636376,0.035657592968939
char_delete,0.1,10,10,2026,0.1013708735476732,16267,1649,0.8233766233766234,0.8231207810518065,0.035389610389610304,0.03493989925505381
char_delete,0.2,20,1,1,0.20052867769103092,16267,3262,0.7909090909090909,0.79160551697268,0.06785714285714284,0.06645516333418033
char_delete,0.2,20,2,7,0.20237290219462717,16267,3292,0.8003246753246753,0.8009421740269265,0.058441558441558406,0.05711850627993387
char_delete,0.2,20,3,21,0.20089752259175017,16267,3268,0.7931818181818182,0.7925059760628401,0.06558441558441552,0.06555470424402021
char_delete,0.2,20,4,42,0.2044630232987029,16267,3326,0.7844155844155845,0.7852222661145231,0.07435064935064928,0.07283841419233728
char_delete,0.2,20,5,84,0.19677875453371857,16267,3201,0.7896103896103897,0.7903902666430427,0.06915584415584408,0.06767041366381765
char_delete,0.2,20,6,123,0.19751644433515705,16267,3213,0.7886363636363637,0.7878646539776486,0.07012987012987004,0.07019602632921174
char_delete,0.2,20,7,256,0.20114341919222967,16267,3272,0.7857142857142857,0.7864919475343314,0.07305194805194803,0.07156873277252895
char_delete,0.2,20,8,512,0.20194258314378805,16267,3285,0.7866883116883117,0.7869871748206075,0.07207792207792207,0.0710735054862528
char_delete,0.2,20,9,1024,0.19561074568144096,16267,3182,0.7896103896103897,0.789179582264849,0.06915584415584408,0.06888109804201137
char_delete,0.2,20,10,2026,0.20563103215098053,16267,3345,0.7831168831168831,0.7822256312260802,0.07564935064935063,0.07583504908078009
char_delete,0.3,30,1,1,0.2971045675293539,16267,4833,0.7337662337662337,0.7323201088356619,0.125,0.12574057147119844
char_delete,0.3,30,2,7,0.303436404991701,16267,4936,0.7402597402597403,0.7405173301391423,0.11850649350649345,0.117543350167718
char_delete,0.3,30,3,21,0.3014077580377451,16267,4903,0.7480519480519481,0.7491401723915025,0.11071428571428565,0.10892050791535779
char_delete,0.3,30,4,42,0.30398967234277985,16267,4945,0.7457792207792208,0.7455183328702216,0.11298701298701297,0.11254234743663871
char_delete,0.3,30,5,84,0.2962439294276757,16267,4819,0.7522727272727273,0.7527365041557832,0.10649350649350642,0.10532417615107714
char_delete,0.3,30,6,123,0.2988258437327104,16267,4861,0.7483766233766234,0.7482815726318571,0.11038961038961037,0.1097791076750032
char_delete,0.3,30,7,256,0.2996864818343886,16267,4875,0.7441558441558441,0.7448345933224612,0.1146103896103896,0.11322608698439918
char_delete,0.3,30,8,512,0.29993237843486814,16267,4879,0.7503246753246753,0.7503755316870659,0.10844155844155845,0.10768514861979439
char_delete,0.3,30,9,1024,0.2932931702219217,16267,4771,0.7480519480519481,0.748548411151031,0.11071428571428565,0.10951226915582934
char_delete,0.3,30,10,2026,0.303436404991701,16267,4936,0.7357142857142858,0.734889117127532,0.12305194805194797,0.12317156317932831
char_delete,0.4,40,1,1,0.3963853199729514,16267,6448,0.6938311688311688,0.6953956089218783,0.16493506493506493,0.16266507138498199
char_delete,0.4,40,2,7,0.40929489149812504,16267,6658,0.6824675324675324,0.6836865729666081,0.1762987012987013,0.17437410734025227
char_delete,0.4,40,3,21,0.40210241593409973,16267,6541,0.699025974025974,0.6986211355560709,0.15974025974025974,0.15943954475078947
char_delete,0.4,40,4,42,0.4033318989364972,16267,6561,0.700974025974026,0.7017329119885434,0.1577922077922077,0.15632776831831696
char_delete,0.4,40,5,84,0.39773775127558864,16267,6470,0.6961038961038961,0.6973683636495931,0.16266233766233762,0.16069231665726724
char_delete,0.4,40,6,123,0.4001967172803836,16267,6510,0.6824675324675324,0.6831091527273545,0.1762987012987013,0.17495152757950583
char_delete,0.4,40,7,256,0.3993975533288252,16267,6497,0.6922077922077922,0.6910997298969327,0.16655844155844157,0.16696095040992764
char_delete,0.4,40,8,512,0.3956476301715129,16267,6436,0.7035714285714286,0.7045507425989028,0.1551948051948051,0.1535099377079575
char_delete,0.4,40,9,1024,0.396569742423311,16267,6451,0.7051948051948052,0.7060214141288235,0.15357142857142858,0.15203926617803687
char_delete,0.4,40,10,2026,0.4033318989364972,16267,6561,0.7074675324675325,0.7082980230766849,0.15129870129870127,0.14976265723017546
word_delete,0.05,5,1,1,0.05229145669057924,33734,1764,0.8337662337662337,0.832915696431291,0.025000000000000022,0.025144983875569293
word_delete,0.05,5,2,7,0.05045354834884686,33734,1702,0.836038961038961,0.8349707299463554,0.022727272727272707,0.023089950360504985
word_delete,0.05,5,3,21,0.050068180470741686,33734,1689,0.8347402597402598,0.8345364896331774,0.02402597402597395,0.023524190673682943
word_delete,0.05,5,4,42,0.049089938934013165,33734,1656,0.8448051948051948,0.8442728495623381,0.013961038961038952,0.013787830744522278
word_delete,0.05,5,5,84,0.04956423786091184,33734,1672,0.8311688311688312,0.8310516536225832,0.02759740259740251,0.027009026684277182
word_delete,0.05,5,6,123,0.0518764451295429,33734,1750,0.8353896103896103,0.8352834393192382,0.023376623376623384,0.022777240987622127
word_delete,0.05,5,7,256,0.05181715776368056,33734,1748,0.8314935064935065,0.8311384989518316,0.027272727272727226,0.026922181355028774
word_delete,0.05,5,8,512,0.049890318373154684,33734,1683,0.8383116883116883,0.8379089741518807,0.020454545454545392,0.02015170615497963
word_delete,0.05,5,9,1024,0.05033497361712219,33734,1698,0.8344155844155844,0.8337958905630105,0.024350649350649345,0.024264789743849824
word_delete,0.05,5,10,2026,0.05033497361712219,33734,1698,0.8340909090909091,0.8337456776539447,0.024675324675324628,0.02431500265291564
word_delete,0.1,10,1,1,0.10221141874666509,33734,3448,0.8071428571428572,0.8069676482321941,0.05162337662337657,0.0510930320746662
word_delete,0.1,10,2,7,0.09954348728286003,33734,3358,0.8165584415584416,0.8155758670327136,0.04220779220779214,0.04248481327414677
word_delete,0.1,10,3,21,0.10037351040493271,33734,3386,0.8126623376623376,0.8117334902807035,0.04610389610389609,0.04632719002615682
word_delete,0.1,10,4,42,0.09927669413647952,33734,3349,0.812987012987013,0.8124967780684081,0.0457792207792207,0.04556390223845219
word_delete,0.1,10,5,84,0.09909883203889251,33734,3343,0.8126623376623376,0.81235561546606,0.04610389610389609,0.04570506484080028
word_delete,0.1,10,6,123,0.1028339360882196,33734,3469,0.8074675324675324,0.8072266778930585,0.05129870129870129,0.05083400241380187
word_delete,0.1,10,7,256,0.10262643030770142,33734,3462,0.7983766233766234,0.7980735913697997,0.060389610389610326,0.05998708893706062
word_delete,0.1,10,8,512,0.098832038892512,33734,3334,0.8146103896103896,0.8146499289015439,0.04415584415584417,0.04341075140531647
word_delete,0.1,10,9,1024,0.09957313096579119,33734,3359,0.8077922077922078,0.8071551557373918,0.050974025974025894,0.05090552456946851
word_delete,0.1,10,10,2026,0.0998399241121717,33734,3368,0.8123376623376624,0.8119227208009032,0.046428571428571375,0.046137959505957116
word_delete,0.2,20,1,1,0.2012213197367641,33734,6788,0.7512987012987012,0.7506845949148685,0.10746753246753249,0.10737608539199184
word_delete,0.2,20,2,7,0.20062844607814076,33734,6768,0.7493506493506493,0.7491315127218093,0.10941558441558441,0.108929167585051
