perturbation,run,seed,accuracy,macro_f1,accuracy_drop,macro_f1_drop
typo,1,1,0.775,0.7742718125722454,0.08376623376623371,0.08378886773461491
typo,2,7,0.7740259740259741,0.7741993879691828,0.08474025974025967,0.08386129233767758
typo,3,21,0.7636363636363637,0.7640219762831243,0.09512987012987006,0.09403870402373604
typo,4,42,0.7746753246753246,0.7732723481494785,0.0840909090909091,0.0847883321573818
typo,5,84,0.7753246753246753,0.7750219279210341,0.08344155844155843,0.08303875238582625
typo,6,123,0.7649350649350649,0.7642819154671278,0.09383116883116882,0.09377876483973258
typo,7,256,0.7681818181818182,0.7677501657822955,0.09058441558441555,0.09031051452456484
typo,8,512,0.7711038961038961,0.7709481731579426,0.08766233766233766,0.08711250714891772
typo,9,1024,0.7678571428571429,0.7677333138955736,0.09090909090909083,0.09032736641128669
typo,10,2026,0.7694805194805194,0.7705308421412492,0.0892857142857143,0.0875298381656111
char_delete,1,1,0.7633116883116883,0.7628843230548065,0.09545454545454546,0.09517635725205387
char_delete,2,7,0.7730519480519481,0.7722834445353693,0.08571428571428563,0.08577723577149099
char_delete,3,21,0.7766233766233767,0.7760255658621047,0.08214285714285707,0.08203511444475564
char_delete,4,42,0.7707792207792208,0.770758978059092,0.08798701298701295,0.08730170224776834
char_delete,5,84,0.7655844155844156,0.7654659014097582,0.09318181818181814,0.0925947788971021
char_delete,6,123,0.7652597402597403,0.7649296178967061,0.09350649350649343,0.09313106241015423
char_delete,7,256,0.7714285714285715,0.7714629626909677,0.08733766233766227,0.08659771761589263
char_delete,8,512,0.7785714285714286,0.7791427871960469,0.08019480519480515,0.07891789311081343
char_delete,9,1024,0.775,0.776335743386039,0.08376623376623371,0.08172493692082139
char_delete,10,2026,0.772077922077922,0.7727791106283821,0.0866883116883117,0.08528156967847822
word_delete,1,1,0.8084415584415584,0.8078676764351498,0.05032467532467533,0.05019300387171055
word_delete,2,7,0.8035714285714286,0.8022104658724211,0.05519480519480513,0.05585021443443927
word_delete,3,21,0.8071428571428572,0.8065488883136023,0.05162337662337657,0.05151179199325806
word_delete,4,42,0.7964285714285714,0.7959168693345856,0.06233766233766236,0.06214381097227473
word_delete,5,84,0.8025974025974026,0.8018986206008255,0.05616883116883109,0.05616205970603483
word_delete,6,123,0.7948051948051948,0.7946694302742339,0.06396103896103889,0.06339125003262647
word_delete,7,256,0.8035714285714286,0.8019904542642512,0.05519480519480513,0.05607022604260914
word_delete,8,512,0.8103896103896104,0.809892136465205,0.048376623376623296,0.048168543841655365
word_delete,9,1024,0.8133116883116883,0.8126947393575098,0.045454545454545414,0.045365940949350536
word_delete,10,2026,0.8116883116883117,0.8114340810823286,0.04707792207792205,0.04662659922453172
