perturbation,severity,severity_percent,run,seed,accuracy,accuracy_drop
typo,0.05,5,1,1,0.8003246753246753,0.058441558441558406
typo,0.05,5,2,7,0.8071428571428572,0.05162337662337657
typo,0.05,5,3,21,0.8058441558441558,0.052922077922077926
typo,0.05,5,4,42,0.798051948051948,0.06071428571428572
typo,0.05,5,5,84,0.7987012987012987,0.06006493506493504
typo,0.05,5,6,123,0.7987012987012987,0.06006493506493504
typo,0.05,5,7,256,0.7964285714285714,0.06233766233766236
typo,0.05,5,8,512,0.7977272727272727,0.061038961038961004
typo,0.05,5,9,1024,0.7948051948051948,0.06396103896103889
typo,0.05,5,10,2026,0.8042207792207792,0.054545454545454564
typo,0.1,10,1,1,0.7987012987012987,0.06006493506493504
typo,0.1,10,2,7,0.7957792207792208,0.06298701298701292
typo,0.1,10,3,21,0.8006493506493506,0.05811688311688312
typo,0.1,10,4,42,0.800974025974026,0.05779220779220773
typo,0.1,10,5,84,0.8090909090909091,0.04967532467532465
typo,0.1,10,6,123,0.8077922077922078,0.050974025974025894
typo,0.1,10,7,256,0.8006493506493506,0.05811688311688312
typo,0.1,10,8,512,0.8012987012987013,0.057467532467532445
typo,0.1,10,9,1024,0.7987012987012987,0.06006493506493504
typo,0.1,10,10,2026,0.8032467532467532,0.055519480519480524
typo,0.2,20,1,1,0.7853896103896104,0.07337662337662332
typo,0.2,20,2,7,0.7730519480519481,0.08571428571428563
typo,0.2,20,3,21,0.7795454545454545,0.07922077922077919
typo,0.2,20,4,42,0.7665584415584416,0.09220779220779218
typo,0.2,20,5,84,0.7688311688311689,0.08993506493506487
typo,0.2,20,6,123,0.7691558441558441,0.08961038961038958
typo,0.2,20,7,256,0.7691558441558441,0.08961038961038958
typo,0.2,20,8,512,0.7701298701298701,0.08863636363636362
typo,0.2,20,9,1024,0.772077922077922,0.0866883116883117
typo,0.2,20,10,2026,0.7808441558441559,0.07792207792207784
typo,0.3,30,1,1,0.7107142857142857,0.148051948051948
typo,0.3,30,2,7,0.7103896103896103,0.14837662337662338
typo,0.3,30,3,21,0.714935064935065,0.14383116883116875
typo,0.3,30,4,42,0.7048701298701299,0.15389610389610386
typo,0.3,30,5,84,0.7087662337662337,0.15000000000000002
typo,0.3,30,6,123,0.7025974025974026,0.15616883116883118
typo,0.3,30,7,256,0.712987012987013,0.1457792207792208
typo,0.3,30,8,512,0.712987012987013,0.1457792207792208
typo,0.3,30,9,1024,0.6996753246753247,0.15909090909090906
typo,0.3,30,10,2026,0.7178571428571429,0.14090909090909087
typo,0.4,40,1,1,0.6474025974025974,0.2113636363636363
typo,0.4,40,2,7,0.6383116883116883,0.22045454545454546
typo,0.4,40,3,21,0.6532467532467533,0.20551948051948044
typo,0.4,40,4,42,0.6438311688311689,0.21493506493506487
typo,0.4,40,5,84,0.6480519480519481,0.21071428571428563
typo,0.4,40,6,123,0.6490259740259741,0.20974025974025967
typo,0.4,40,7,256,0.6477272727272727,0.21103896103896103
typo,0.4,40,8,512,0.6480519480519481,0.21071428571428563
typo,0.4,40,9,1024,0.6386363636363637,0.22012987012987006
typo,0.4,40,10,2026,0.6542207792207793,0.20454545454545447
char_delete,0.05,5,1,1,0.7649350649350649,0.09383116883116882
char_delete,0.05,5,2,7,0.7685064935064935,0.09025974025974026
char_delete,0.05,5,3,21,0.7743506493506493,0.08441558441558439
char_delete,0.05,5,4,42,0.7711038961038961,0.08766233766233766
char_delete,0.05,5,5,84,0.7668831168831168,0.0918831168831169
char_delete,0.05,5,6,123,0.7662337662337663,0.09253246753246747
char_delete,0.05,5,7,256,0.7714285714285715,0.08733766233766227
char_delete,0.05,5,8,512,0.7753246753246753,0.08344155844155843
char_delete,0.05,5,9,1024,0.7694805194805194,0.0892857142857143
char_delete,0.05,5,10,2026,0.7711038961038961,0.08766233766233766
char_delete,0.1,10,1,1,0.7737012987012987,0.08506493506493507
char_delete,0.1,10,2,7,0.7724025974025974,0.08636363636363631
char_delete,0.1,10,3,21,0.7727272727272727,0.08603896103896103
char_delete,0.1,10,4,42,0.772077922077922,0.0866883116883117
char_delete,0.1,10,5,84,0.7659090909090909,0.09285714285714286
char_delete,0.1,10,6,123,0.7678571428571429,0.09090909090909083
char_delete,0.1,10,7,256,0.7753246753246753,0.08344155844155843
char_delete,0.1,10,8,512,0.7613636363636364,0.09740259740259738
char_delete,0.1,10,9,1024,0.7668831168831168,0.0918831168831169
char_delete,0.1,10,10,2026,0.7678571428571429,0.09090909090909083
char_delete,0.2,20,1,1,0.7685064935064935,0.09025974025974026
char_delete,0.2,20,2,7,0.7603896103896104,0.09837662337662334
char_delete,0.2,20,3,21,0.7655844155844156,0.09318181818181814
char_delete,0.2,20,4,42,0.7724025974025974,0.08636363636363631
char_delete,0.2,20,5,84,0.7659090909090909,0.09285714285714286
char_delete,0.2,20,6,123,0.763961038961039,0.09480519480519478
char_delete,0.2,20,7,256,0.7733766233766234,0.08538961038961035
char_delete,0.2,20,8,512,0.7568181818181818,0.1019480519480519
char_delete,0.2,20,9,1024,0.7711038961038961,0.08766233766233766
char_delete,0.2,20,10,2026,0.7691558441558441,0.08961038961038958
char_delete,0.3,30,1,1,0.7288961038961039,0.1298701298701298
char_delete,0.3,30,2,7,0.736038961038961,0.12272727272727268
char_delete,0.3,30,3,21,0.7415584415584415,0.1172077922077922
char_delete,0.3,30,4,42,0.736038961038961,0.12272727272727268
char_delete,0.3,30,5,84,0.7259740259740259,0.1327922077922078
char_delete,0.3,30,6,123,0.7438311688311688,0.11493506493506489
