perturbation,severity,severity_percent,mean_accuracy,accuracy_std,mean_drop,drop_std
char_delete,0.05,5,0.7699350649350649,0.0033955789396141645,0.08883116883116882,0.0033955789396141493
char_delete,0.1,10,0.7696103896103896,0.004324131456599946,0.08915584415584413,0.004324131456599917
char_delete,0.2,20,0.7667207792207792,0.005298058452077628,0.09204545454545451,0.0052980584520776215
char_delete,0.3,30,0.737922077922078,0.006493145733124295,0.1208441558441558,0.006493145733124342
char_delete,0.4,40,0.7019805194805195,0.005964077449485944,0.15678571428571425,0.005964077449485946
typo,0.05,5,0.8001948051948051,0.0041471545155098545,0.05857142857142855,0.004147154515509869
typo,0.1,10,0.8016883116883117,0.0040834008838294454,0.05707792207792205,0.004083400883829423
typo,0.2,20,0.773474025974026,0.006264074499559527,0.08529220779220775,0.006264074499559543
typo,0.3,30,0.7095779220779221,0.005696486939900512,0.14918831168831165,0.005696486939900504
typo,0.4,40,0.6468506493506494,0.0053064526460163495,0.21191558441558436,0.005306452646016344
word_delete,0.05,5,0.8053896103896104,0.004452249943881095,0.05337662337662334,0.00445224994388112
word_delete,0.1,10,0.8022077922077923,0.0032133928242243613,0.05655844155844151,0.0032133928242243596
word_delete,0.2,20,0.7643506493506493,0.006161802025509292,0.09441558441558438,0.006161802025509278
word_delete,0.3,30,0.6982142857142857,0.005422607140792103,0.16055194805194803,0.005422607140792109
word_delete,0.4,40,0.6317532467532467,0.005460383050898161,0.22701298701298697,0.005460383050898182
