run,seed,train_fraction,train_samples,accuracy,macro_f1
1,1,0.8,8002,0.8480519480519481,0.8465623327023711
2,7,0.8,8002,0.8451298701298702,0.8440699739950903
3,21,0.8,8002,0.8535714285714285,0.8523468373613813
4,42,0.8,8002,0.849025974025974,0.8481788414305087
5,84,0.8,8002,0.8487012987012987,0.8470226835928693
6,123,0.8,8002,0.8483766233766233,0.8466220773564734
7,256,0.8,8002,0.8477272727272728,0.8464947608297143
8,512,0.8,8002,0.8435064935064935,0.8418841720188726
9,1024,0.8,8002,0.8425324675324676,0.8416166751527006
10,2026,0.8,8002,0.8461038961038961,0.8447879810735928
